Patient_ID,GeneSymbol,logFC
GSM1588975,STAT1,4.563409225499507
GSM1588975,CDC20,4.551076352052808
GSM1588975,TRIP13,4.189436033604338
GSM1588975,BCL2A1,4.090476819981936
GSM1588975,EZH2,3.822408633779573
GSM1588975,PMAIP1,3.277358293617379
GSM1588975,BIRC5,3.103312602735836
GSM1588975,TK1,2.8003812545801816
GSM1588975,IFI16,2.735195147164106
GSM1588975,HSP90AB1,2.648033678796896
GSM1588975,IRF9,2.363034408266248
GSM1588975,TM4SF1,2.230441005560209
GSM1588975,BAX,2.1881631107117467
GSM1588975,LAPTM5,2.178624406717441
GSM1588975,MCL1,2.0148071387598616
GSM1588975,MYC,1.9406569967892136
GSM1588975,BCL11A,1.7901444564756437
GSM1588975,PLAUR,1.7757821220148493
GSM1588975,PARP1,1.6902316495239589
GSM1588975,CASP3,1.652496800864597
GSM1588975,CCND1,1.5764540375300626
GSM1588975,CREB1,1.569386533498661
GSM1588975,CASP6,1.5183451779246662
GSM1588975,MAP3K7,1.5030189453519487
GSM1588975,NFKB1,1.4676552366777331
GSM1588975,HMGCR,1.4642950040276208
GSM1588975,CYCS,1.3677334421226544
GSM1588975,UBQLN1,1.3215734443157885
GSM1588975,UBE2D1,1.3177850856476319
GSM1588975,SLC3A2,1.2807728652695776
GSM1588975,CASP7,1.2658745863405576
GSM1588975,REL,1.2434482613753568
GSM1588975,BTG3,1.2431195492976341
GSM1588975,CASP8,1.1993001721874101
GSM1588975,TRIB3,1.1622621501308448
GSM1588975,BID,1.0526297017713384
GSM1588975,IRF2BP2,1.0194314196688499
GSM1588975,XIAP,0.9901106935815038
GSM1588975,PLAU,0.9852342981191473
GSM1588975,SAT1,0.9491390742365304
GSM1588975,CASP2,0.9297923929047984
GSM1588975,DIABLO,0.9194325237680818
GSM1588975,ACTB,0.9155824032713529
GSM1588975,MTA1,0.8539362647005007
GSM1588975,HIF1A,0.8537591765383947
GSM1588975,CSNK2B,0.8383266254149948
GSM1588975,LDHB,0.7500151347304058
GSM1588975,NCOA4,0.7430067981560686
GSM1588975,GABPA,0.7336879544638011
GSM1588975,STAT3,0.7335269984466928
GSM1588975,MCM7,0.7258509646550433
GSM1588975,FADD,0.7205397781837393
GSM1588975,PIK3CA,0.70387782066694
GSM1588975,ST14,0.6963566662367855
GSM1588975,BRCA1,0.6753014855704667
