GeneSymbol,Diff,Boolean
A2M,-0.04127287947392588,0
ACTB,1.1353739312395774,0
AKT2,-0.03909933045213343,0
ANXA1,0.30133817415549835,0
APAF1,0.1575598099142752,0
AR,-3.558666000590814,0
ARAF,0.2506161167663512,0
ARNT,0.44077962261202774,0
ARRB1,-1.7303735743846538,0
ATF2,0.49006082029176845,0
BAD,-0.11328503895929387,0
BAK1,-0.3049907007759307,0
BAX,2.3421831887861932,1
BCL11A,2.365523930722568,1
BCL2,-0.6158066108330056,0
BCL2A1,4.0241485466351055,1
BCL2L1,0.31023915781464595,0
BCL2L11,0.7318531429203725,0
BCL6,0.1337594298713114,0
BID,1.1866260028070101,0
BIRC2,0.4975748436724139,0
BIRC5,2.4868548845801826,1
BRCA1,0.647478859945366,0
BTG3,1.036519100260774,0
CASP10,-0.27246820127048377,0
CASP2,0.6185510464394186,0
CASP3,2.079898185675235,1
CASP6,0.9400874837063844,0
CASP7,0.8797408122169577,0
CASP8,1.3340491983833536,0
CASP9,-0.6156073821868473,0
CAV1,-2.7887107428767273,0
CCND1,-1.5191556941493216,0
CD44,1.1505177852454267,0
CD82,0.0662993049187639,0
CDC20,4.419947364026058,1
CDKN1A,0.009334116196789921,0
CREB1,1.2282035781100387,0
CSNK2B,0.3205936124416464,0
CTSD,0.5071690396978887,0
CYCS,1.1911565318952952,0
CYP3A4,-0.4768462756565697,0
DAXX,-0.15967215722750527,0
DDR1,-1.0285564722379021,0
DIABLO,0.6166588389111212,0
E2F1,-0.3619768384442503,0
E2F4,-0.1725420315745767,0
EGFR,-0.3580903218733784,0
EPHA2,-0.7011474553247554,0
ERBB2,0.06491983708276106,0
ETS1,1.5733101984193354,0
ETV1,-0.531866891345226,0
EZH2,3.622137832675244,1
FADD,0.7374269078831199,0
FOS,1.2032487025282208,0
GABPA,1.1842924061642703,0
GADD45B,0.834818288533441,0
HDAC1,0.8815090917530473,0
HIF1A,0.8985165480906936,0
HINT1,0.6025577049565705,0
HMGCR,0.7752233041942604,0
HSP90AB1,2.5870654196059952,1
HSPB1,-0.4078469173786292,0
IFI16,1.8896201385315976,1
IKBKG,-0.14538780232432824,0
INSR,-0.37912007385018764,0
IRF2BP2,1.053221335684304,0
IRF9,1.588228207370448,0
ITGB4,-0.04201799852089838,0
KRT15,-2.5469136253450824,0
KRT17P5,-0.7053026768925426,0
KRT5,0.24626494808321908,0
LAPTM5,2.7149436906228406,1
LDHB,0.4163492822381567,0
MAP3K4,-0.7364486492231599,0
MAP3K5,0.46516780536710023,0
MAP3K7,2.156010559486118,1
MAPK3,-0.8975941123863969,0
MAPK4,-0.2717868854241776,0
MCL1,2.453458802871637,1
MCM7,1.0897198393291347,0
MTA1,0.5267371622021715,0
MYC,2.389372134035513,1
NCOA4,0.30861141461416963,0
NEDD9,0.02517399556949851,0
NFE2L2,0.24736975112392567,0
NFKB1,0.8486786317120822,0
NR3C1,-0.5572669661044891,0
PARP1,1.8993922479541876,1
PAX6,1.1793487430235867,0
PIK3CA,0.9710242531002855,0
PLAT,-3.4336478503171604,0
PLAU,1.3590363602989974,0
PLAUR,2.20081640261931,1
PLK2,-0.5867101134024022,0
PMAIP1,4.051074219776245,1
PML,0.5937481789784336,0
PPARD,-0.05009068739273914,0
PPARG,-2.8705473170059683,0
PSMD4,0.9817309927119062,0
RB1,0.291705031925682,0
REL,2.1236640099494686,1
RELA,0.3809971072868805,0
RXRA,-0.24101191119496246,0
S100A10,-0.1307867097768245,0
SAT1,0.8935074461860992,0
SERPINA3,0.09002216121324125,0
SETDB1,0.9016244326178473,0
SLC3A2,0.9812146238868173,0
SMAD3,-0.7770133123708716,0
SMAD4,-0.028267928503606043,0
SOD1,0.07132494737005501,0
SQSTM1,0.20038204132803017,0
ST14,0.7819143662856591,0
STAT1,3.9543954595733064,1
STAT3,1.4034843949663465,0
STAT5A,-1.474746432712318,0
SYNPO,-0.9474339564259342,0
TGFB1,0.8907412025015873,0
TGFBR1,-0.057417184898632456,0
TGFBR2,0.44522855758322777,0
TK1,2.0835305599833163,1
TM4SF1,2.5814531936922673,1
TNRC6A,0.18678279419493915,0
TP53,-0.3225172414082982,0
TRADD,-0.1367118923689592,0
TRIB3,0.4669976510566052,0
TRIM29,-0.8129459251925217,0
TRIP13,2.9850208919414083,1
UBE2D1,0.7353494522167878,0
UBQLN1,2.4917577331171277,1
USP7,-0.030008236502479413,0
VIM,0.3374761922755809,0
WWP1,0.1694360770044021,0
XIAP,0.98928550824506,0
YWHAB,0.1692273393055146,0
