Target_Gene;Source_Gene;Interaction_Type;Reason
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (5.268658580198757) vs Target BAK1 (0.8338107420023295)
BAK1;MCL1;-1;Incoherent Outgoing: Source MCL1 (2.0082852538376716) vs Target BAK1 (0.8338107420023295)
BAK1;TP53;1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target BAK1 (0.8338107420023295)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (2.0082852538376716) vs Target BAX (2.089630292080307)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.422851850256433) vs Target BCL2 (-0.651994120182227)
BCL2;TP53;-1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target BCL2 (-0.651994120182227)
BID;TP53;1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target BID (1.7215519674950697)
BRCA1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.0301854066530964) vs Target BRCA1 (0.8741541029324962)
BRCA1;MTA1;-1;Incoherent Outgoing: Source MTA1 (1.2288602250300054) vs Target BRCA1 (0.8741541029324962)
BTG3;TP53;1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target BTG3 (1.066154940688122)
CASP3;BIRC2;-1;Incoherent Outgoing: Source BIRC2 (1.024125696613316) vs Target CASP3 (1.4665246506070382)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.4665246506070382) vs Target CASP9 (-0.32175820804277766)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.458821221062216) vs Target CAV1 (-2.8150607251475677)
CAV1;TP53;-1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target CAV1 (-2.8150607251475677)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (-1.6488355185832395) vs Target CCND1 (1.895878593676283)
CCND1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.0301854066530964) vs Target CCND1 (1.895878593676283)
CCND1;PSMD4;-1;Incoherent Outgoing: Source PSMD4 (1.610524207409366) vs Target CCND1 (1.895878593676283)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.1732978560083298) vs Target CCND1 (1.895878593676283)
CD44;FOS;1;Incoherent Outgoing: Source FOS (-1.6488355185832395) vs Target CD44 (0.6466767483270095)
CTSD;TP53;1;Incoherent Outgoing: Source TP53 (-1.1614845989949938) vs Target CTSD (0.8352943323426274)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.066154940688122) vs Target E2F1 (0.9025655819892942)
E2F1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.0301854066530964) vs Target E2F1 (0.9025655819892942)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.422851850256433) vs Target E2F1 (0.9025655819892942)
