GeneSymbol,Diff,Boolean
A2M,-0.8285192725864956,0
ACTB,0.9607017587225979,0
AKT2,-0.24313847167120972,0
ANXA1,-1.0292332431390916,0
APAF1,-0.3719130597534219,0
AR,-3.0458561304683043,0
ARAF,0.054109252010826836,0
ARNT,0.2840474889383513,0
ARRB1,-1.7749774424613278,0
ATF2,0.4054001934790268,0
BAD,0.6871285637977289,0
BAK1,0.06346707339682922,0
BAX,1.4058909539962077,0
BCL11A,2.106285478156045,1
BCL2,-1.4759400843950106,0
BCL2A1,3.5216602876920553,1
BCL2L1,0.6551096691512752,0
BCL2L11,0.4614135095997485,0
BCL6,-0.9745516022311502,0
BID,1.7010624007287243,1
BIRC2,0.23264444133453388,0
BIRC5,2.6700217803156248,1
BRCA1,-0.6227304851380691,0
BTG3,1.917880769943336,1
CASP10,-0.5226794740013663,0
CASP2,0.7145960664435522,0
CASP3,2.2057032673899855,1
CASP6,-1.6208870644429796,0
CASP7,1.259818485790249,0
CASP8,0.691454630917927,0
CASP9,-0.5896306516010279,0
CAV1,-3.6445896685911876,0
CCND1,-0.9038601927828207,0
CD44,0.99369529773558,0
CD82,0.2626515492238539,0
CDC20,4.701405578680207,1
CDKN1A,0.5055616391909812,0
CREB1,1.469932088019271,0
CSNK2B,1.3972735807371954,0
CTSD,1.0637623912774075,0
CYCS,0.9873458971302442,0
CYP3A4,-0.43268333218254185,0
DAXX,0.39050897751096514,0
DDR1,0.4132240578239337,0
DIABLO,0.866080673785202,0
E2F1,0.7755441681477899,0
E2F4,-0.316827474182392,0
EGFR,-0.6036638587781598,0
EPHA2,0.3592403992767341,0
ERBB2,-0.8859984631535065,0
ETS1,0.1399777709170058,0
ETV1,-0.654483618130536,0
EZH2,4.763319813837614,1
FADD,1.4853417614065494,0
FOS,0.3231072237976509,0
GABPA,0.3507818191376151,0
GADD45B,0.7302032969662111,0
HDAC1,0.6814665779730174,0
HIF1A,0.5835777170617948,0
HINT1,1.119954579380778,0
HMGCR,0.6049884532228296,0
HSP90AB1,3.0794521303910933,1
HSPB1,-0.13220145866142907,0
IFI16,4.407652087730536,1
IKBKG,-0.1259085872568182,0
INSR,-0.1428731888659751,0
IRF2BP2,1.10197094632578,0
IRF9,2.5247320337274477,1
ITGB4,0.6426126029652321,0
KRT15,-1.229299208498464,0
KRT17P5,-0.45775131239792266,0
KRT5,-2.4338327608426304,0
LAPTM5,2.223092153584341,1
LDHB,-0.24628186345814385,0
MAP3K4,-0.2509175699600359,0
MAP3K5,0.4853155551122299,0
MAP3K7,1.6537210684910084,1
MAPK3,-0.9084626673471679,0
MAPK4,-0.2407893463212818,0
MCL1,1.511165891344488,0
MCM7,1.5752169542078658,0
MTA1,0.18911834303181596,0
MYC,2.2425383115468147,1
NCOA4,0.4351930615490698,0
NEDD9,-0.27090818715885145,0
NFE2L2,0.6216608599340123,0
NFKB1,0.49869944043881365,0
NR3C1,-0.10432991944806602,0
PARP1,1.771878209624429,1
PAX6,2.1596843530375223,1
PIK3CA,0.17323749122400312,0
PLAT,-2.405003503457011,0
PLAU,1.7195834121558278,1
PLAUR,2.3241276271710163,1
PLK2,0.7168139421405382,0
PMAIP1,3.77700139783156,1
PML,0.8715234886966119,0
PPARD,0.36885498998024246,0
PPARG,-3.2613975903716383,0
PSMD4,0.693867613180279,0
RB1,-0.06438183878955783,0
REL,1.1398252972093523,0
RELA,1.4879557022235907,0
RXRA,-0.617146182287927,0
S100A10,0.5952374619058975,0
SAT1,0.6350732811425317,0
SERPINA3,2.076705755288941,1
SETDB1,0.8101403606612072,0
SLC3A2,2.1006912057318576,1
SMAD3,-0.6065777495079026,0
SMAD4,0.885086981282158,0
SOD1,-0.1713865622645443,0
SQSTM1,-0.14906726448973906,0
ST14,1.018252744107662,0
STAT1,3.5731910621819596,1
STAT3,1.507989198409545,0
STAT5A,-0.06887711880746927,0
SYNPO,-0.8745446204999769,0
TGFB1,0.15398439675515263,0
TGFBR1,0.21772550451716466,0
TGFBR2,0.6220265738889292,0
TK1,2.6740177815295256,1
TM4SF1,2.0988799937657348,1
TNRC6A,0.23891940283861945,0
TP53,1.834038979410571,1
TRADD,-0.5974494973393956,0
TRIB3,1.7533251092209747,1
TRIM29,-0.16201373648771433,0
TRIP13,3.3746523209015375,1
UBE2D1,1.0204789520790438,0
UBQLN1,1.492214743966553,0
USP7,-0.31494519038037705,0
VIM,0.14351715629883088,0
WWP1,-0.7438541304648227,0
XIAP,0.7738647579659954,0
YWHAB,0.9569514871936562,0
