Patient_ID,GeneSymbol,logFC
GSM1588986,BCL2A1,6.083184483893646
GSM1588986,CDC20,5.123222504784687
GSM1588986,PAX6,4.359905193424772
GSM1588986,HSP90AB1,3.0952685065609593
GSM1588986,EZH2,2.894134823081753
GSM1588986,UBQLN1,2.6354103510776206
GSM1588986,TRIB3,2.5873310786410544
GSM1588986,CD44,2.5813232124542775
GSM1588986,MYC,2.574681323479414
GSM1588986,TRIP13,2.570110453132628
GSM1588986,STAT1,2.479061144048508
GSM1588986,PMAIP1,2.3865912219992502
GSM1588986,SERPINA3,2.3793722516849414
GSM1588986,PARP1,2.359170992664689
GSM1588986,MAP3K7,2.3365864261159786
GSM1588986,BID,2.200692343201328
GSM1588986,LAPTM5,2.1381678680295906
GSM1588986,BAX,2.0668792957149122
GSM1588986,MCM7,1.9907190502142829
GSM1588986,BIRC5,1.9300709642544076
GSM1588986,BCL11A,1.7498669662631476
GSM1588986,SLC3A2,1.7411845354106177
GSM1588986,HMGCR,1.7124887228275014
GSM1588986,TK1,1.4551471138824414
GSM1588986,CREB1,1.433159481721348
GSM1588986,LDHB,1.4328647802239551
GSM1588986,IRF9,1.3859399831645476
GSM1588986,IRF2BP2,1.3217469060116898
GSM1588986,HDAC1,1.3018605620838972
GSM1588986,YWHAB,1.2745762923343857
GSM1588986,PLAUR,1.2523742458777134
GSM1588986,NFKB1,1.2497123742564922
GSM1588986,XIAP,1.2351328281537812
GSM1588986,CSNK2B,1.1914506641190936
GSM1588986,REL,1.1673585079861262
GSM1588986,CASP3,1.1422743812246976
GSM1588986,MCL1,1.1037327584816845
GSM1588986,ITGB4,1.0967974301934138
GSM1588986,UBE2D1,1.0821693000347388
GSM1588986,VIM,1.0367246893315052
GSM1588986,E2F1,1.032515064393519
GSM1588986,SQSTM1,0.9510350462288235
GSM1588986,DIABLO,0.9112130768463622
GSM1588986,CASP8,0.8032203127052329
GSM1588986,TM4SF1,0.7922464926946367
GSM1588986,BIRC2,0.7866579591778162
GSM1588986,RELA,0.770745146008295
GSM1588986,A2M,0.7693886933022469
GSM1588986,NFE2L2,0.7679078018508871
GSM1588986,ETS1,0.7661997184501921
GSM1588986,WWP1,0.7577558833883522
GSM1588986,ACTB,0.7376070033124442
GSM1588986,BCL2L11,0.7275000407925498
GSM1588986,ATF2,0.6998827260774423
GSM1588986,STAT3,0.689224414472215
GSM1588986,BTG3,0.6280252151959091
GSM1588986,TGFB1,0.6064163477000735
GSM1588986,PIK3CA,0.5872271183148259
GSM1588986,DDR1,0.5280066849008591
GSM1588986,ST14,0.47054255601868267
GSM1588986,PSMD4,0.45574402418978366
GSM1588986,FADD,0.44850319666878047
GSM1588986,BCL2L1,0.44697731566942434
GSM1588986,GABPA,0.4455203561999008
GSM1588986,MTA1,0.43278956583136097
GSM1588986,PPARD,0.4022188856895852
GSM1588986,BAD,0.29119050674195
GSM1588986,GADD45B,0.20650821503689798
GSM1588986,CASP2,0.1616112983560516
GSM1588986,CASP7,0.1560565866133583
GSM1588986,ARAF,0.1551828036336964
GSM1588986,E2F4,0.15102781136247234
GSM1588986,BRCA1,0.14812076950809594
GSM1588986,CASP9,0.14240521229687264
GSM1588986,ARNT,0.12402201188374651
GSM1588986,EPHA2,0.11774572192336485
GSM1588986,TRIM29,0.09001758887230071
GSM1588986,IKBKG,0.08380978024872654
GSM1588986,DAXX,0.060924451432891935
GSM1588986,BAK1,0.05651351889498901
GSM1588986,CASP6,0.019413711198139616
GSM1588986,PLAU,-0.008024309836397236
GSM1588986,SETDB1,-0.013179417753486078
GSM1588986,EGFR,-0.01862998777018543
GSM1588986,MAPK4,-0.027755654751634218
GSM1588986,CYCS,-0.029975663363339677
GSM1588986,HINT1,-0.03287820651545026
GSM1588986,USP7,-0.04781104448645568
GSM1588986,CCND1,-0.0618049603498676
GSM1588986,CASP10,-0.07740235105994397
GSM1588986,CD82,-0.09027636800875083
GSM1588986,SMAD3,-0.09273033330254155
GSM1588986,ANXA1,-0.17193410140598786
GSM1588986,CYP3A4,-0.24155657956406973
GSM1588986,SOD1,-0.2416809608227446
GSM1588986,PML,-0.28600986409240914
GSM1588986,AKT2,-0.2870707015543035
GSM1588986,INSR,-0.3006508986548928
GSM1588986,NEDD9,-0.3141657358347496
GSM1588986,CTSD,-0.33514915362331177
GSM1588986,APAF1,-0.35479236215139753
GSM1588986,MAP3K5,-0.3726773861731276
GSM1588986,SMAD4,-0.3929125209605093
GSM1588986,CDKN1A,-0.41382544345541916
GSM1588986,ERBB2,-0.41792617325526926
GSM1588986,TNRC6A,-0.41911901439153443
GSM1588986,KRT17P5,-0.4796698208799226
GSM1588986,HIF1A,-0.5521035970819863
GSM1588986,MAPK3,-0.5587675509149754
GSM1588986,TRADD,-0.5893715872682019
GSM1588986,NCOA4,-0.6142489353443317
GSM1588986,IFI16,-0.6144730819361461
GSM1588986,KRT5,-0.6171103881283404
GSM1588986,RB1,-0.7401137659591077
GSM1588986,BCL2,-0.784990040400527
GSM1588986,SAT1,-0.7869078539429992
GSM1588986,HSPB1,-0.853686266061219
GSM1588986,S100A10,-0.8724537616306343
GSM1588986,PLK2,-0.9834218352718818
GSM1588986,ETV1,-1.0351211239799607
GSM1588986,MAP3K4,-1.226770897324121
GSM1588986,BCL6,-1.3896501414027362
GSM1588986,TGFBR1,-1.3925234414282448
GSM1588986,SYNPO,-1.3974169439664603
GSM1588986,TGFBR2,-1.5001951420684314
GSM1588986,STAT5A,-1.6599737945686304
GSM1588986,FOS,-1.675836210955949
GSM1588986,ARRB1,-1.7007989031652873
GSM1588986,NR3C1,-1.757457493224595
GSM1588986,RXRA,-1.7671955043273275
GSM1588986,TP53,-1.924708219727714
GSM1588986,AR,-2.8017938518346925
GSM1588986,PPARG,-3.4946412741129786
GSM1588986,KRT15,-4.385128884114783
GSM1588986,PLAT,-4.489939909943501
GSM1588986,CAV1,-4.833332707466482
