Patient_ID,GeneSymbol,logFC
GSM1589011,BCL2A1,3.812249436839437
GSM1589011,EZH2,3.617113311844883
GSM1589011,HSP90AB1,3.163673746972826
GSM1589011,TRIP13,3.061331171140388
GSM1589011,CDC20,3.016724296157907
GSM1589011,STAT1,2.789773660807004
GSM1589011,ERBB2,2.600394817261244
GSM1589011,TK1,2.587533175628182
GSM1589011,CCND1,2.5786102542896394
GSM1589011,CASP6,2.04098422251779
GSM1589011,PLAU,1.8848200375574224
GSM1589011,NFKB1,1.8625189993188824
GSM1589011,TM4SF1,1.8519250686909654
GSM1589011,MYC,1.764650909066713
GSM1589011,IRF9,1.7601751110390076
GSM1589011,LAPTM5,1.7466848285992054
GSM1589011,CREB1,1.732138449040014
GSM1589011,PMAIP1,1.7189193781505994
GSM1589011,PLAUR,1.7047462608675454
GSM1589011,BIRC5,1.702850767619525
GSM1589011,CASP3,1.6237856286243773
GSM1589011,PARP1,1.4858264512134074
GSM1589011,VIM,1.460332909285821
GSM1589011,FADD,1.4481347843873804
GSM1589011,BCL11A,1.3689919780947752
GSM1589011,PIK3CA,1.345892359286017
GSM1589011,SLC3A2,1.2593089262754678
GSM1589011,BTG3,1.2524332419190563
GSM1589011,HMGCR,1.2233625411175257
GSM1589011,UBQLN1,1.2206871076563885
GSM1589011,BID,1.214914262192683
GSM1589011,UBE2D1,1.2092027011640374
GSM1589011,MAP3K7,1.1963905127968806
GSM1589011,LDHB,1.191662634695156
GSM1589011,IRF2BP2,1.1287698109165412
GSM1589011,CD44,1.088918197976855
GSM1589011,STAT3,1.0867860756968897
GSM1589011,TP53,1.0433467685551063
GSM1589011,FOS,1.0287127958027398
GSM1589011,MCL1,1.007103902276591
GSM1589011,ACTB,0.9924043231115114
GSM1589011,BAX,0.9826446328735017
GSM1589011,DDR1,0.9482862316483605
GSM1589011,CASP2,0.9378904029658743
GSM1589011,BRCA1,0.9220164038950616
GSM1589011,KRT15,0.920828441635436
GSM1589011,RB1,0.8992885764026575
GSM1589011,WWP1,0.8641649360924877
GSM1589011,CYCS,0.8525104760944204
GSM1589011,HIF1A,0.8060837492910942
GSM1589011,S100A10,0.7874346414453406
GSM1589011,GABPA,0.7426156677657962
GSM1589011,MCM7,0.7380257395477479
GSM1589011,CSNK2B,0.7150299202088934
GSM1589011,ETS1,0.692300054754293
GSM1589011,ATF2,0.6917033069383356
GSM1589011,HSPB1,0.651917565714971
GSM1589011,YWHAB,0.6458124712764537
GSM1589011,CASP7,0.6279044580817486
GSM1589011,IFI16,0.6033395230110994
GSM1589011,GADD45B,0.6007793684451066
GSM1589011,SOD1,0.5874989876449543
GSM1589011,SAT1,0.549015075613708
GSM1589011,HDAC1,0.5294076605624465
GSM1589011,TGFBR1,0.5071468525190985
GSM1589011,AKT2,0.5030903876611639
GSM1589011,BIRC2,0.4613508425377155
GSM1589011,NCOA4,0.46055552989946946
GSM1589011,CTSD,0.44989538341532764
GSM1589011,SMAD4,0.38106787762705174
GSM1589011,BAD,0.36601637574101
GSM1589011,REL,0.35772081815254975
GSM1589011,CASP8,0.34671065817529634
GSM1589011,XIAP,0.33382236729771275
GSM1589011,DIABLO,0.3278423959928709
GSM1589011,A2M,0.323447281926196
GSM1589011,RELA,0.3193021791241062
GSM1589011,TRIB3,0.2978648150013852
GSM1589011,NEDD9,0.2741867563505904
GSM1589011,ARNT,0.2346189139985695
GSM1589011,HINT1,0.22277880854528043
GSM1589011,TGFB1,0.20120782396095205
GSM1589011,ST14,0.1951092261293983
GSM1589011,E2F1,0.14663993585884416
GSM1589011,CDKN1A,0.07684954649485043
GSM1589011,ITGB4,0.07435173765284198
GSM1589011,MTA1,0.04752195288765115
GSM1589011,BCL2L11,0.045475787639778
GSM1589011,BCL2L1,0.03894555844788439
GSM1589011,PSMD4,0.03815771113093902
GSM1589011,TNRC6A,0.010575692663496561
GSM1589011,ARAF,0.006777654117236409
GSM1589011,SETDB1,-0.009773839777070137
GSM1589011,ETV1,-0.09013180193678849
GSM1589011,NFE2L2,-0.09211508106706923
GSM1589011,PPARD,-0.11486795240451997
GSM1589011,TRIM29,-0.16221698443984423
GSM1589011,MAP3K5,-0.16462524182232752
GSM1589011,BAK1,-0.17648487105350075
GSM1589011,PLK2,-0.20697250391358146
GSM1589011,E2F4,-0.2099398420645331
GSM1589011,MAPK4,-0.22792201041521132
GSM1589011,TGFBR2,-0.2709173404770855
GSM1589011,DAXX,-0.2745358897941381
GSM1589011,USP7,-0.3226017221487343
GSM1589011,EPHA2,-0.32310446581990515
GSM1589011,SQSTM1,-0.3335533869847005
GSM1589011,TRADD,-0.34331430562063225
GSM1589011,PML,-0.3769224508144635
GSM1589011,CASP10,-0.3988483724072589
GSM1589011,CASP9,-0.4178821532179944
GSM1589011,PAX6,-0.4232327746461886
GSM1589011,KRT17P5,-0.4766707347947632
GSM1589011,CYP3A4,-0.5049085816867116
GSM1589011,IKBKG,-0.5453701683575183
GSM1589011,SMAD3,-0.5456954939400971
GSM1589011,APAF1,-0.5782473646653674
GSM1589011,ANXA1,-0.5816591375643227
GSM1589011,CD82,-0.6958241501667466
GSM1589011,EGFR,-0.7146718061002693
GSM1589011,INSR,-0.7626288269094452
GSM1589011,BCL2,-0.7762808395393073
GSM1589011,CAV1,-0.945588885581099
GSM1589011,NR3C1,-0.9575719224443047
GSM1589011,RXRA,-0.9750638506907077
GSM1589011,SYNPO,-1.0085111638462
GSM1589011,BCL6,-1.0364389040420559
GSM1589011,MAP3K4,-1.0521230329727356
GSM1589011,MAPK3,-1.076801595756896
GSM1589011,SERPINA3,-1.26347787165553
GSM1589011,PLAT,-1.4491688122155502
GSM1589011,ARRB1,-1.5307487083574172
GSM1589011,PPARG,-2.1910016920093884
GSM1589011,STAT5A,-2.2251775243364804
GSM1589011,AR,-2.4446908641555956
GSM1589011,KRT5,-2.6452536321760407
