Patient_ID,GeneSymbol,logFC
GSM1589035,CDC20,4.194770175281368
GSM1589035,TRIP13,3.6862921474445987
GSM1589035,BCL2A1,3.580202227372287
GSM1589035,TM4SF1,3.377440462546506
GSM1589035,EZH2,3.280340769741964
GSM1589035,KRT5,2.9098612652746
GSM1589035,HSP90AB1,2.863015385648893
GSM1589035,TK1,2.6962725527430864
GSM1589035,PLAUR,2.4769710592801033
GSM1589035,MCL1,2.4111418362014057
GSM1589035,SAT1,2.3907465844431304
GSM1589035,S100A10,2.3809303757382345
GSM1589035,BTG3,2.3380782073443545
GSM1589035,SERPINA3,2.1437193617686408
GSM1589035,TP53,2.1400719042456506
GSM1589035,LAPTM5,2.116396747241751
GSM1589035,PLAU,2.058383470323003
GSM1589035,BIRC5,2.0143846738533817
GSM1589035,CD82,1.999750595406879
GSM1589035,HSPB1,1.9997016291651715
GSM1589035,FOS,1.9973020851386103
GSM1589035,BID,1.9440962841604295
GSM1589035,PMAIP1,1.7569743032506597
GSM1589035,CASP3,1.7434187208754786
GSM1589035,UBQLN1,1.678877252556525
GSM1589035,MYC,1.6612915646104138
GSM1589035,XIAP,1.6485165636800803
GSM1589035,BIRC2,1.6248069722365148
GSM1589035,PLK2,1.6215260500158895
GSM1589035,DDR1,1.4795419581260116
GSM1589035,MAP3K7,1.4743112314982252
GSM1589035,STAT1,1.4617435436835322
GSM1589035,CTSD,1.4249242580691277
GSM1589035,MCM7,1.4075033410065583
GSM1589035,IFI16,1.382971631481844
GSM1589035,PARP1,1.376834399841778
GSM1589035,MAP3K5,1.3684898467109035
GSM1589035,SETDB1,1.3546052390812395
GSM1589035,BAX,1.353885969123482
GSM1589035,ACTB,1.2188267536042705
GSM1589035,REL,1.1820629434221415
GSM1589035,CSNK2B,1.1761734379917943
GSM1589035,RELA,1.1024748678298906
GSM1589035,INSR,1.0616823477551298
GSM1589035,CD44,1.0600809636584287
GSM1589035,BAK1,1.0538799393837994
GSM1589035,SLC3A2,1.0455195380078983
GSM1589035,VIM,1.0400953317342712
GSM1589035,ARNT,1.03233992620991
GSM1589035,HIF1A,0.9924172102227935
GSM1589035,NFKB1,0.9157842059416224
GSM1589035,DAXX,0.8998263646877662
GSM1589035,BCL11A,0.8853906149583644
GSM1589035,ST14,0.8804712320886585
GSM1589035,UBE2D1,0.839178508133525
GSM1589035,TGFB1,0.7835098137092977
GSM1589035,CREB1,0.7650219304961361
GSM1589035,PSMD4,0.7462891922537889
GSM1589035,PML,0.7198843667509518
GSM1589035,LDHB,0.715952850970405
GSM1589035,CASP6,0.7118053576762362
GSM1589035,CCND1,0.6844037632964284
GSM1589035,ARAF,0.6575705851253861
GSM1589035,ETS1,0.6551014507685124
GSM1589035,BAD,0.6456813003933037
GSM1589035,IRF2BP2,0.6419136596348327
GSM1589035,FADD,0.6412937436058703
GSM1589035,YWHAB,0.6311317582447877
GSM1589035,CASP2,0.6256871824664394
GSM1589035,HMGCR,0.621173706376851
GSM1589035,IRF9,0.5963824892288176
GSM1589035,GADD45B,0.5829788797183912
GSM1589035,GABPA,0.5786205144163956
GSM1589035,HDAC1,0.5555998610307871
GSM1589035,CDKN1A,0.5532377412929801
GSM1589035,MTA1,0.5523406691375508
GSM1589035,PAX6,0.5491705726706018
GSM1589035,WWP1,0.5403269208237269
GSM1589035,IKBKG,0.5176672992846161
GSM1589035,STAT3,0.4986213137696778
GSM1589035,NFE2L2,0.4515045672000131
GSM1589035,E2F1,0.4120694734718491
GSM1589035,DIABLO,0.4002725887764118
GSM1589035,E2F4,0.38114850736930794
GSM1589035,BRCA1,0.3777167506857868
GSM1589035,USP7,0.3436372454324186
GSM1589035,BCL2L11,0.33292790686275264
GSM1589035,SMAD3,0.31689301186790786
GSM1589035,PIK3CA,0.2965112942258692
GSM1589035,ANXA1,0.293934446283016
GSM1589035,CYCS,0.2836624559416636
GSM1589035,CASP8,0.27610177900796984
GSM1589035,APAF1,0.264367760783756
GSM1589035,PPARD,0.25590015233062324
GSM1589035,HINT1,0.19318167883377235
GSM1589035,TRADD,0.17803630816009708
GSM1589035,EPHA2,0.17087206113526499
GSM1589035,CASP7,0.1685814635982883
GSM1589035,TNRC6A,0.16453233654467248
GSM1589035,EGFR,0.1445690789353442
GSM1589035,BCL2L1,0.14306637303811431
GSM1589035,TGFBR1,0.14204396581443923
GSM1589035,ITGB4,0.0648897662936001
GSM1589035,RXRA,0.02737398900476773
GSM1589035,TRIB3,-0.06393862388851002
GSM1589035,SOD1,-0.08328467091704539
GSM1589035,AKT2,-0.1018111802317776
GSM1589035,SQSTM1,-0.1361445107057131
GSM1589035,TGFBR2,-0.14557045951642156
GSM1589035,SMAD4,-0.15304619674927444
GSM1589035,MAPK4,-0.21077393996066496
GSM1589035,CASP10,-0.21601276736923136
GSM1589035,CASP9,-0.21742505737337137
GSM1589035,NCOA4,-0.2194409084106308
GSM1589035,ERBB2,-0.23518527755935636
GSM1589035,MAP3K4,-0.2925037948877556
GSM1589035,KRT17P5,-0.3289179343402031
GSM1589035,ATF2,-0.3802863129397842
GSM1589035,CYP3A4,-0.4264996265159846
GSM1589035,RB1,-0.4507746196044575
GSM1589035,TRIM29,-0.45541622488123235
GSM1589035,MAPK3,-0.4919089149310647
GSM1589035,NEDD9,-0.6586842293521871
GSM1589035,SYNPO,-0.7223424921226735
GSM1589035,PLAT,-0.7482520847407601
GSM1589035,ETV1,-0.8566055084086743
GSM1589035,ARRB1,-0.9857839180421397
GSM1589035,BCL6,-1.0313113840370622
GSM1589035,BCL2,-1.1052853111762948
GSM1589035,A2M,-1.1631965622000786
GSM1589035,NR3C1,-1.285848688311301
GSM1589035,STAT5A,-1.4945374972575598
GSM1589035,CAV1,-2.2511191758092117
GSM1589035,AR,-2.475218818249343
GSM1589035,PPARG,-2.889743497851499
GSM1589035,KRT15,-4.131846023485624
