Drug,Target_Gene,Action,Target_Status
Vincristine_Liposome,HIF1A,INHIBITS,COVERED
N/A,ETS1,N/A,MISSING
N/A,NCOA4,N/A,MISSING
N/A,BCL11A,N/A,MISSING
N/A,TRIP13,N/A,MISSING
