Target_Gene;Source_Gene;Interaction_Type;Reason
A2M;PPARG;1;Incoherent Outgoing: Source PPARG (-2.1910016920093884) vs Target A2M (0.323447281926196)
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0085111638462) vs Target ACTB (0.9924043231115114)
ACTB;TP53;-1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target ACTB (0.9924043231115114)
AKT2;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.5307487083574172) vs Target AKT2 (0.5030903876611639)
AKT2;BCL11A;-1;Incoherent Outgoing: Source BCL11A (1.3689919780947752) vs Target AKT2 (0.5030903876611639)
AKT2;EZH2;-1;Incoherent Outgoing: Source EZH2 (3.617113311844883) vs Target AKT2 (0.5030903876611639)
BAD;PIK3CA;-1;Incoherent Outgoing: Source PIK3CA (1.345892359286017) vs Target BAD (0.36601637574101)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.1287698109165412) vs Target BAX (0.9826446328735017)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.007103902276591) vs Target BAX (0.9826446328735017)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.8625189993188824) vs Target BCL2 (-0.7762808395393073)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.732138449040014) vs Target BCL2 (-0.7762808395393073)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.3689919780947752) vs Target BCL6 (-1.0364389040420559)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.076801595756896) vs Target BRCA1 (0.9220164038950616)
BRCA1;TP53;-1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target BRCA1 (0.9220164038950616)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (1.6237856286243773) vs Target CASP10 (-0.3988483724072589)
CASP10;CASP6;1;Incoherent Outgoing: Source CASP6 (2.04098422251779) vs Target CASP10 (-0.3988483724072589)
CASP10;FADD;1;Incoherent Outgoing: Source FADD (1.4481347843873804) vs Target CASP10 (-0.3988483724072589)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (3.061331171140388) vs Target CASP7 (0.6279044580817486)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.6237856286243773) vs Target CASP9 (-0.4178821532179944)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.7047462608675454) vs Target CAV1 (-0.945588885581099)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.0867860756968897) vs Target CAV1 (-0.945588885581099)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.2251775243364804) vs Target CCND1 (2.5786102542896394)
CCND1;TP53;-1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target CCND1 (2.5786102542896394)
CD82;TP53;1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target CD82 (-0.6958241501667466)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.5307487083574172) vs Target CREB1 (1.732138449040014)
EGFR;ERBB2;1;Incoherent Outgoing: Source ERBB2 (2.600394817261244) vs Target EGFR (-0.7146718061002693)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (3.061331171140388) vs Target EGFR (-0.7146718061002693)
EPHA2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.732138449040014) vs Target EPHA2 (-0.32310446581990515)
EPHA2;TP53;1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target EPHA2 (-0.32310446581990515)
ETS1;TP53;-1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target ETS1 (0.692300054754293)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.2251775243364804) vs Target EZH2 (3.617113311844883)
EZH2;TP53;-1;Incoherent Outgoing: Source TP53 (1.0433467685551063) vs Target EZH2 (3.617113311844883)
FOS;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.2251775243364804) vs Target FOS (1.0287127958027398)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.2251775243364804) vs Target HDAC1 (0.5294076605624465)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.5307487083574172) vs Target HIF1A (0.8060837492910942)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.789773660807004) vs Target HIF1A (0.8060837492910942)
