Patient_ID,GeneSymbol,logFC
GSM1588995,TRIP13,4.836646913617887
GSM1588995,EZH2,4.533634584399683
GSM1588995,CDC20,4.439018281058578
GSM1588995,STAT1,3.6743592091330086
GSM1588995,BCL2A1,3.348737206469167
GSM1588995,HSP90AB1,3.3267140683620937
GSM1588995,BAX,3.1968707643846166
GSM1588995,PMAIP1,2.878637132222014
GSM1588995,TK1,2.8465118220715455
GSM1588995,BIRC5,2.8220826978592086
GSM1588995,PLAU,2.7072774039356826
GSM1588995,TM4SF1,2.5129516181268183
GSM1588995,CASP3,2.4981589521354977
GSM1588995,IFI16,2.3557183625650513
GSM1588995,MYC,2.3497501653180137
GSM1588995,PAX6,2.2423662333725867
GSM1588995,PLAUR,2.050136179731333
GSM1588995,PARP1,1.905866697949918
GSM1588995,MCL1,1.8987597052276097
GSM1588995,TRIB3,1.8806453124467097
GSM1588995,LAPTM5,1.7606856252175174
GSM1588995,IRF9,1.7585809332102986
GSM1588995,MAP3K7,1.754940285826228
GSM1588995,UBQLN1,1.7409845025156478
GSM1588995,BID,1.6375919898316935
GSM1588995,CD44,1.607542790254497
GSM1588995,ETS1,1.5712438405609461
GSM1588995,CASP6,1.5705338259687514
GSM1588995,SAT1,1.4898001142833621
GSM1588995,FOS,1.459214505170431
GSM1588995,TP53,1.4100133720044719
GSM1588995,MCM7,1.401124474407828
GSM1588995,NFKB1,1.3811786434519222
GSM1588995,BRCA1,1.3071861645878213
GSM1588995,HSPB1,1.3064267203971713
GSM1588995,STAT3,1.2785889742540784
GSM1588995,ST14,1.2318544013738375
GSM1588995,HDAC1,1.1646149841407958
GSM1588995,CASP2,1.1568122498838536
GSM1588995,PSMD4,1.139904115405093
GSM1588995,BIRC2,1.1370617343371148
GSM1588995,DIABLO,1.1354325831607017
GSM1588995,VIM,1.1272579182373814
GSM1588995,ACTB,1.125223780491865
GSM1588995,HIF1A,1.1202282212884942
GSM1588995,UBE2D1,1.115327509450208
GSM1588995,S100A10,1.0898039505163108
GSM1588995,ATF2,1.0509875957512023
GSM1588995,LDHB,1.0054667468065084
GSM1588995,CREB1,0.9779330987630663
GSM1588995,CASP8,0.9205350160488956
GSM1588995,BCL11A,0.8612055211489551
GSM1588995,FADD,0.8495345661241691
GSM1588995,CSNK2B,0.8465598310210947
GSM1588995,GABPA,0.8429007545364806
GSM1588995,SLC3A2,0.8288198530842177
GSM1588995,HMGCR,0.7827436224930509
GSM1588995,IRF2BP2,0.762359635128627
GSM1588995,GADD45B,0.7597199074727286
GSM1588995,REL,0.756307417695691
GSM1588995,TRIM29,0.7521542889491881
GSM1588995,ARNT,0.7328819251101377
GSM1588995,MAP3K5,0.7188116486547687
GSM1588995,TGFBR1,0.7092568707840652
GSM1588995,BAD,0.69853184006198
GSM1588995,CDKN1A,0.6801711226041913
GSM1588995,NFE2L2,0.6736993887187328
GSM1588995,XIAP,0.6179788784091649
GSM1588995,TGFB1,0.6041152728547621
GSM1588995,SETDB1,0.5798541716885195
GSM1588995,BTG3,0.5687162651254045
GSM1588995,CASP7,0.5665230755496884
GSM1588995,SQSTM1,0.5358748303400729
GSM1588995,YWHAB,0.5352838489649869
GSM1588995,BCL2L1,0.5249273784660424
GSM1588995,HINT1,0.41648896298323557
GSM1588995,ARAF,0.4093724159858372
GSM1588995,CD82,0.39136121493646314
GSM1588995,PIK3CA,0.3270314554821141
GSM1588995,SOD1,0.30399647994985557
GSM1588995,NCOA4,0.2125558480049694
GSM1588995,MTA1,0.1555206749054756
GSM1588995,EPHA2,0.14090979436326467
GSM1588995,RELA,0.10866954334592105
GSM1588995,BCL2L11,0.06765410290613882
GSM1588995,DAXX,0.05133138024629069
GSM1588995,CTSD,0.04909339164520787
GSM1588995,ERBB2,0.04576249897209017
GSM1588995,E2F1,0.0382320532086835
GSM1588995,INSR,0.00686079709120424
GSM1588995,PML,0.005361434061096126
GSM1588995,CYCS,-0.0179852308433599
GSM1588995,TRADD,-0.06567858483079814
GSM1588995,AKT2,-0.0995115691412991
GSM1588995,MAPK4,-0.10640603623479805
GSM1588995,PPARD,-0.10982727439232676
GSM1588995,WWP1,-0.14596970525732722
GSM1588995,CCND1,-0.16239526071550614
GSM1588995,APAF1,-0.17101246691768068
GSM1588995,TNRC6A,-0.17636289629837876
GSM1588995,CASP9,-0.19428853492775655
GSM1588995,E2F4,-0.21157381631898264
GSM1588995,DDR1,-0.22367544144973373
GSM1588995,USP7,-0.22849939885354953
GSM1588995,BAK1,-0.2708902674253908
GSM1588995,TGFBR2,-0.2761862547697911
GSM1588995,A2M,-0.34375777032066424
GSM1588995,SMAD4,-0.35308722148513016
GSM1588995,IKBKG,-0.38754383210401855
GSM1588995,CASP10,-0.43215670898059066
GSM1588995,CYP3A4,-0.54389287413969
GSM1588995,RB1,-0.5483193178217984
GSM1588995,ITGB4,-0.5697412467008158
GSM1588995,ANXA1,-0.6124681112514487
GSM1588995,NEDD9,-0.6444878331834296
GSM1588995,ETV1,-0.668053183965287
GSM1588995,KRT17P5,-0.7030476402685126
GSM1588995,BCL2,-0.7307839644824368
GSM1588995,SYNPO,-0.7369777668692832
GSM1588995,EGFR,-0.7907084248728475
GSM1588995,PLAT,-0.9012248854731109
GSM1588995,SMAD3,-0.9309250991362497
GSM1588995,MAPK3,-1.0051776443837248
GSM1588995,PPARG,-1.0778696494518387
GSM1588995,MAP3K4,-1.1301212143557855
GSM1588995,RXRA,-1.2285946466849325
GSM1588995,NR3C1,-1.2405964876572035
GSM1588995,BCL6,-1.3420250857288067
GSM1588995,SERPINA3,-1.3564652890551603
GSM1588995,ARRB1,-1.5305642163146942
GSM1588995,KRT5,-1.64987337892949
GSM1588995,CAV1,-1.7779963196109527
GSM1588995,PLK2,-2.0076131963281414
GSM1588995,STAT5A,-2.0200779262679402
GSM1588995,KRT15,-2.7477056894165237
GSM1588995,AR,-3.15418518154111
