Target_Gene;Source_Gene;Interaction_Type;Reason
PPARG;SMAD3;-1;Incoherent Outgoing: Source SMAD3 (-1.0840613505983523) vs Target PPARG (-1.6388314670370585)
RELA;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.0085515071989386) vs Target RELA (0.7878529282519366)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.713017786701908) vs Target RELA (0.7878529282519366)
RELA;TRIB3;-1;Incoherent Outgoing: Source TRIB3 (2.021227929855004) vs Target RELA (0.7878529282519366)
SERPINA3;STAT1;1;Incoherent Outgoing: Source STAT1 (2.713017786701908) vs Target SERPINA3 (-3.7098174504414896)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.7468356928807598) vs Target STAT5A (-1.7567114066480203)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-1.0947048449404475) vs Target TGFB1 (0.4345826123263121)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (1.7468356928807598) vs Target TGFB1 (0.4345826123263121)
TP53;EZH2;-1;Incoherent Outgoing: Source EZH2 (4.368256122540763) vs Target TP53 (0.6481863174240061)
TP53;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (1.7468356928807598) vs Target TP53 (0.6481863174240061)
TP53;MTA1;-1;Incoherent Outgoing: Source MTA1 (1.2182144764018608) vs Target TP53 (0.6481863174240061)
TP53;PLAU;-1;Incoherent Outgoing: Source PLAU (3.1017356819910518) vs Target TP53 (0.6481863174240061)
TP53;PLK2;1;Incoherent Outgoing: Source PLK2 (-1.0186634271505612) vs Target TP53 (0.6481863174240061)
TP53;WWP1;-1;Incoherent Outgoing: Source WWP1 (1.1262606546354412) vs Target TP53 (0.6481863174240061)
VIM;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.0085515071989386) vs Target VIM (0.6643755823935749)
VIM;CREB1;-1;Incoherent Outgoing: Source CREB1 (1.301619970992662) vs Target VIM (0.6643755823935749)
VIM;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.7567114066480203) vs Target VIM (0.6643755823935749)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.7567114066480203) vs Target XIAP (0.6134186963691768)
