Target_Gene;Source_Gene;Interaction_Type;Reason
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1554917774686082) vs Target BAX (1.4369660286352222)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.0278213001542813) vs Target BCL2 (-0.74097171575354)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (2.319234604827211) vs Target BCL6 (-1.2025685542869935)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.4397277694544943) vs Target BID (1.9860460126389823)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (2.322715041725268) vs Target CASP7 (0.3698902257575183)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.8384156081418173) vs Target CASP9 (-0.5290014263855971)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (2.0566208974146534) vs Target CAV1 (-1.669689239965777)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.6095382923179278) vs Target CAV1 (-1.669689239965777)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3865356145287357) vs Target CREB1 (1.0278213001542813)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (2.322715041725268) vs Target EGFR (-0.4837780429750813)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3865356145287357) vs Target HIF1A (1.4397277694544943)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.200792609195023) vs Target HIF1A (1.4397277694544943)
IKBKG;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.0040558930242938) vs Target IKBKG (-0.3112579639496982)
IKBKG;MAP3K7;1;Incoherent Outgoing: Source MAP3K7 (1.2792708123725784) vs Target IKBKG (-0.3112579639496982)
KRT5;FOS;1;Incoherent Outgoing: Source FOS (1.9190527880576411) vs Target KRT5 (-0.7645800807594707)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.669689239965777) vs Target MCL1 (1.1554917774686082)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.307516765416787) vs Target MCL1 (1.1554917774686082)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.8409235481047777) vs Target MTA1 (0.4295479476163413)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.8384156081418173) vs Target PARP1 (1.8409235481047777)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.0278213001542813) vs Target PLAT (-1.4754055649886304)
PLAT;FOS;1;Incoherent Outgoing: Source FOS (1.9190527880576411) vs Target PLAT (-1.4754055649886304)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.669689239965777) vs Target PLAUR (2.0566208974146534)
PMAIP1;MCL1;1;Incoherent Outgoing: Source MCL1 (1.1554917774686082) vs Target PMAIP1 (-0.5422911408548305)
RELA;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3865356145287357) vs Target RELA (0.5093178340223945)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.200792609195023) vs Target RELA (0.5093178340223945)
SERPINA3;STAT1;1;Incoherent Outgoing: Source STAT1 (2.200792609195023) vs Target SERPINA3 (-1.77642140703726)
SERPINA3;STAT3;1;Incoherent Outgoing: Source STAT3 (1.6095382923179278) vs Target SERPINA3 (-1.77642140703726)
SOD1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-1.669689239965777) vs Target SOD1 (-0.9444987819621442)
SQSTM1;FOS;1;Incoherent Outgoing: Source FOS (1.9190527880576411) vs Target SQSTM1 (-0.3024529783429628)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-2.4009717227982676) vs Target TGFB1 (0.42291214796075227)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (2.0040558930242938) vs Target TGFB1 (0.42291214796075227)
TP53;EZH2;-1;Incoherent Outgoing: Source EZH2 (4.095231955133483) vs Target TP53 (0.752632066872426)
TP53;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (2.0040558930242938) vs Target TP53 (0.752632066872426)
TP53;PLAU;-1;Incoherent Outgoing: Source PLAU (2.5976726658149474) vs Target TP53 (0.752632066872426)
TP53;PLK2;1;Incoherent Outgoing: Source PLK2 (-1.2683874145407916) vs Target TP53 (0.752632066872426)
TP53;STAT3;-1;Incoherent Outgoing: Source STAT3 (1.6095382923179278) vs Target TP53 (0.752632066872426)
TP53;UBE2D1;-1;Incoherent Outgoing: Source UBE2D1 (1.2301912424061943) vs Target TP53 (0.752632066872426)
VIM;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3865356145287357) vs Target VIM (0.7568506982659855)
VIM;CREB1;-1;Incoherent Outgoing: Source CREB1 (1.0278213001542813) vs Target VIM (0.7568506982659855)
