Patient_ID,GeneSymbol,logFC
GSM1589012,CDC20,5.4216046713592885
GSM1589012,EZH2,5.167451701087534
GSM1589012,PMAIP1,4.263614750455561
GSM1589012,TRIP13,3.271197727517137
GSM1589012,ETV1,3.260130635449946
GSM1589012,BIRC5,3.0221221086129875
GSM1589012,STAT1,2.9710970206768863
GSM1589012,HSP90AB1,2.93546245676216
GSM1589012,CYCS,2.6588555340371274
GSM1589012,BCL2A1,2.208860138575017
GSM1589012,BAX,2.0315924503345517
GSM1589012,MAP3K7,1.9127714033930854
GSM1589012,HMGCR,1.910950413557357
GSM1589012,CREB1,1.8588670064512778
GSM1589012,TRIB3,1.8154341248122945
GSM1589012,LAPTM5,1.7874478292359441
GSM1589012,IFI16,1.7631660679230308
GSM1589012,ATF2,1.7096892698770887
GSM1589012,PARP1,1.6829439309679977
GSM1589012,MYC,1.6615830714576134
GSM1589012,CASP3,1.5678766861749374
GSM1589012,IRF9,1.5450119980883184
GSM1589012,TK1,1.508507843643602
GSM1589012,SLC3A2,1.4951626236607272
GSM1589012,PLAU,1.4213631393909072
GSM1589012,LDHB,1.403513171341956
GSM1589012,MCM7,1.3199751634362968
GSM1589012,HIF1A,1.2938311092667938
GSM1589012,HSPB1,1.2459601983123711
GSM1589012,BCL11A,1.2400858356881672
GSM1589012,BAD,1.2356218466188542
GSM1589012,DIABLO,1.1828787706633008
GSM1589012,FOS,1.1721893488349604
GSM1589012,CASP2,1.1691192765601146
GSM1589012,PIK3CA,1.0478606737273033
GSM1589012,TP53,1.0472186005196207
GSM1589012,MCL1,1.029615075233302
GSM1589012,XIAP,1.024773197464027
GSM1589012,CASP7,1.0057611760545884
GSM1589012,CD44,0.9799941611708913
GSM1589012,ACTB,0.901909825696741
GSM1589012,VIM,0.8713447230378222
GSM1589012,GADD45B,0.8493725871806133
GSM1589012,TGFB1,0.8413793032593677
GSM1589012,BID,0.8143114528901787
GSM1589012,NR3C1,0.791801564965148
GSM1589012,PLAUR,0.7916439147049195
GSM1589012,MTA1,0.7846479515971456
GSM1589012,CCND1,0.7782733318763935
GSM1589012,PAX6,0.7604021154733118
GSM1589012,IRF2BP2,0.7474495880122589
GSM1589012,CSNK2B,0.7363969236913945
GSM1589012,SOD1,0.7133830499657545
GSM1589012,REL,0.709151185790379
GSM1589012,EGFR,0.6871133536003375
GSM1589012,GABPA,0.6851301958972709
GSM1589012,UBQLN1,0.6379800699727349
GSM1589012,CASP6,0.623166528404691
GSM1589012,TGFBR2,0.6189815609022986
GSM1589012,FADD,0.6155814073863697
GSM1589012,ETS1,0.5500382135948527
GSM1589012,EPHA2,0.5192085950724552
GSM1589012,NFE2L2,0.5144121278785079
GSM1589012,E2F1,0.47487952547990897
GSM1589012,BRCA1,0.47311326606505055
GSM1589012,ARAF,0.4688819777061024
GSM1589012,UBE2D1,0.462629294027435
GSM1589012,PSMD4,0.4124371449678854
GSM1589012,RELA,0.39930721899479593
GSM1589012,TGFBR1,0.3970204158753816
GSM1589012,SMAD4,0.3418606563855242
GSM1589012,ARNT,0.3241789951756626
GSM1589012,HDAC1,0.3199378313827168
GSM1589012,S100A10,0.297465712714855
GSM1589012,APAF1,0.26648604962958355
GSM1589012,CASP8,0.2566035924255097
GSM1589012,NEDD9,0.24294214211177856
GSM1589012,SMAD3,0.2346294635749855
GSM1589012,BCL2L1,0.22573068025240417
GSM1589012,MAP3K4,0.22121495195936447
GSM1589012,SETDB1,0.2190396869764193
GSM1589012,STAT3,0.19927846508539826
GSM1589012,BCL2L11,0.1966531169502348
GSM1589012,DAXX,0.17348688856580186
GSM1589012,BTG3,0.11291888139123163
GSM1589012,YWHAB,0.06076830844970971
GSM1589012,SAT1,0.05776514936050603
GSM1589012,RXRA,0.05119913544325705
GSM1589012,TNRC6A,0.05057891442154627
GSM1589012,PPARD,-0.02912158341420934
GSM1589012,BIRC2,-0.04636680511904423
GSM1589012,CTSD,-0.06954640178619265
GSM1589012,NFKB1,-0.12085994160939695
GSM1589012,NCOA4,-0.12995316077413044
GSM1589012,AKT2,-0.13330998005166528
GSM1589012,CDKN1A,-0.1558541632788497
GSM1589012,MAPK4,-0.17130039708043476
GSM1589012,RB1,-0.22838655265021757
GSM1589012,HINT1,-0.2954571313512755
GSM1589012,BAK1,-0.3530516751565207
GSM1589012,SQSTM1,-0.36846930589859284
GSM1589012,CASP9,-0.3746594055190373
GSM1589012,E2F4,-0.40424833488062717
GSM1589012,IKBKG,-0.47248811458301976
GSM1589012,TM4SF1,-0.48333827378154126
GSM1589012,USP7,-0.5267395988435633
GSM1589012,WWP1,-0.5626107821612969
GSM1589012,CASP10,-0.5860869047598118
GSM1589012,SYNPO,-0.6039131603876937
GSM1589012,KRT17P5,-0.6053054085056324
GSM1589012,TRADD,-0.6126124434817823
GSM1589012,PML,-0.6223359585038377
GSM1589012,ERBB2,-0.6407221924141027
GSM1589012,CYP3A4,-0.6460157082822278
GSM1589012,A2M,-0.7036929147126187
GSM1589012,BCL2,-0.7824263961259872
GSM1589012,ITGB4,-0.8972602124764819
GSM1589012,INSR,-0.900796896439167
GSM1589012,CD82,-1.1109013714011118
GSM1589012,ST14,-1.2660408764304982
GSM1589012,CAV1,-1.310396327001671
GSM1589012,MAP3K5,-1.352003962127923
