Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;TP53;-1;Incoherent Outgoing: Source TP53 (1.0965484894359916) vs Target ACTB (1.032047631394553)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.3860881870581885) vs Target BAX (1.5350787297101167)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.0276959625892728) vs Target BCL2 (-0.9995594093396596)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-2.622660715198144) vs Target BCL2L1 (0.40434870431673975)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (3.9453361993685085) vs Target BCL2L1 (0.40434870431673975)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.209846351810455) vs Target BCL2L1 (0.40434870431673975)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5505222405248498) vs Target BCL2L1 (0.40434870431673975)
BCL2L1;TP53;-1;Incoherent Outgoing: Source TP53 (1.0965484894359916) vs Target BCL2L1 (0.40434870431673975)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.344574574212209) vs Target BCL6 (-0.7438522764817836)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.1566291935363946) vs Target BID (1.2086477282247028)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.119261527268966) vs Target BRCA1 (0.4071244738361308)
BRCA1;TP53;-1;Incoherent Outgoing: Source TP53 (1.0965484894359916) vs Target BRCA1 (0.4071244738361308)
CASP6;CASP3;1;Incoherent Outgoing: Source CASP3 (1.6157759040416177) vs Target CASP6 (-0.364244635777645)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (3.193604461036127) vs Target CASP7 (0.685118861294808)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (2.2838329052079818) vs Target CAV1 (-2.352871632302122)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-2.352871632302122) vs Target CCND1 (-0.3681911166657521)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (3.4642105171003825) vs Target CCND1 (-0.3681911166657521)
