Target_Gene;Source_Gene;Interaction_Type;Reason
TP53;ARRB1;-1;Incoherent Outgoing: Source ARRB1 (-1.3909934368138384) vs Target TP53 (-0.9317798656438443)
TP53;BCL2;-1;Incoherent Outgoing: Source BCL2 (-1.2783726360745922) vs Target TP53 (-0.9317798656438443)
TP53;BCL6;-1;Incoherent Outgoing: Source BCL6 (-2.33312470730628) vs Target TP53 (-0.9317798656438443)
TP53;CREB1;1;Incoherent Outgoing: Source CREB1 (1.5150023520499554) vs Target TP53 (-0.9317798656438443)
TP53;IFI16;1;Incoherent Outgoing: Source IFI16 (1.0809437485785978) vs Target TP53 (-0.9317798656438443)
TP53;IRF9;1;Incoherent Outgoing: Source IRF9 (1.5851595653730266) vs Target TP53 (-0.9317798656438443)
TP53;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.093697706756383) vs Target TP53 (-0.9317798656438443)
TP53;PARP1;1;Incoherent Outgoing: Source PARP1 (1.922609252381939) vs Target TP53 (-0.9317798656438443)
TP53;STAT1;1;Incoherent Outgoing: Source STAT1 (2.443256089960972) vs Target TP53 (-0.9317798656438443)
TP53;TRIM29;-1;Incoherent Outgoing: Source TRIM29 (-1.509851112612104) vs Target TP53 (-0.9317798656438443)
VIM;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3909934368138384) vs Target VIM (1.2940379768124153)
VIM;CREB1;-1;Incoherent Outgoing: Source CREB1 (1.5150023520499554) vs Target VIM (1.2940379768124153)
VIM;FOS;1;Incoherent Outgoing: Source FOS (-1.0470858399275098) vs Target VIM (1.2940379768124153)
VIM;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.22215230489161) vs Target VIM (1.2940379768124153)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.22215230489161) vs Target XIAP (0.9565333905571265)
