Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0398277546308563) vs Target ACTB (1.0866778970219517)
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (4.119029944307237) vs Target BAK1 (0.8802137111785795)
BAK1;MCL1;-1;Incoherent Outgoing: Source MCL1 (2.138180921987587) vs Target BAK1 (0.8802137111785795)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.1889357342109719) vs Target BAX (1.9600711671973121)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (2.138180921987587) vs Target BAX (1.9600711671973121)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.0695228234869623) vs Target BCL2 (-0.5923855925075276)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.7165263497747416) vs Target BCL2 (-0.5923855925075276)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-3.5894783285345504) vs Target BCL2L1 (0.3932453211281599)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.129474665526978) vs Target BCL2L1 (0.3932453211281599)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (4.12802805836516) vs Target BCL2L1 (0.3932453211281599)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.7071430151199198) vs Target BCL2L1 (0.3932453211281599)
BIRC2;CASP8;-1;Incoherent Outgoing: Source CASP8 (1.272716721048396) vs Target BIRC2 (0.8484799174987163)
BRCA1;CREB1;1;Incoherent Outgoing: Source CREB1 (1.7165263497747416) vs Target BRCA1 (-0.7520638431778135)
BRCA1;PARP1;1;Incoherent Outgoing: Source PARP1 (1.0835990947526088) vs Target BRCA1 (-0.7520638431778135)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (4.252502673044708) vs Target CASP7 (0.859456688030888)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.7918777138344275) vs Target CASP9 (-0.34169805012844456)
CAV1;CD82;1;Incoherent Outgoing: Source CD82 (1.1615408284914297) vs Target CAV1 (-2.8870369246221426)
CAV1;ETS1;1;Incoherent Outgoing: Source ETS1 (1.3833350178898023) vs Target CAV1 (-2.8870369246221426)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.7293480522685956) vs Target CAV1 (-2.8870369246221426)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.7071430151199198) vs Target CCND1 (1.721654210277908)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7321723125484443) vs Target CREB1 (1.7165263497747416)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.0866778970219517) vs Target CSNK2B (0.6841813757657942)
