Target_Gene;Source_Gene;Interaction_Type;Reason
BAD;YWHAB;-1;Incoherent Outgoing: Source YWHAB (1.2721004861336542) vs Target BAD (1.023089939764807)
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (2.575635891038007) vs Target BAK1 (1.0528780663285096)
BAK1;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target BAK1 (1.0528780663285096)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.1339076821462655) vs Target BAX (1.6486399357120467)
BCL2;TP53;-1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target BCL2 (-0.7865652740798623)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.4674423692338676) vs Target BCL6 (-0.7596513989601252)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.0137019354573944) vs Target BID (1.0932272368913996)
BID;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target BID (1.0932272368913996)
BTG3;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target BTG3 (1.716537024097887)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (2.026215652241147) vs Target CASP10 (-0.44910258897791433)
CASP10;FADD;1;Incoherent Outgoing: Source FADD (1.032091902691719) vs Target CASP10 (-0.44910258897791433)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.3197869692790771) vs Target CASP3 (2.026215652241147)
CASP6;XIAP;-1;Incoherent Outgoing: Source XIAP (1.3197869692790771) vs Target CASP6 (0.6728898003617436)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (2.447679115393832) vs Target CAV1 (-1.662663456190968)
CAV1;TP53;-1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target CAV1 (-1.662663456190968)
CCND1;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.0137019354573944) vs Target CCND1 (1.8667816119198921)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.0316270227362505) vs Target CCND1 (1.8667816119198921)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.2335171838659011) vs Target CREB1 (0.9245638477669615)
CTSD;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target CTSD (1.1136117856510488)
DDR1;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target DDR1 (0.8694136398339847)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.2335171838659011) vs Target E2F1 (0.40071082472861885)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.716537024097887) vs Target E2F1 (0.40071082472861885)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (2.153753789014589) vs Target E2F1 (0.40071082472861885)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.0316270227362505) vs Target EZH2 (4.145061955314543)
FOS;PARP1;1;Incoherent Outgoing: Source PARP1 (2.153753789014589) vs Target FOS (-0.9951390958607398)
FOS;STAT1;1;Incoherent Outgoing: Source STAT1 (2.1530644527846867) vs Target FOS (-0.9951390958607398)
GADD45B;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target GADD45B (0.7996484410606834)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.0316270227362505) vs Target HDAC1 (0.9885164293478965)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.2335171838659011) vs Target HIF1A (1.0137019354573944)
HIF1A;MCM7;-1;Incoherent Outgoing: Source MCM7 (2.0078793500189445) vs Target HIF1A (1.0137019354573944)
HIF1A;SQSTM1;-1;Incoherent Outgoing: Source SQSTM1 (1.560232233703748) vs Target HIF1A (1.0137019354573944)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.1530644527846867) vs Target HIF1A (1.0137019354573944)
IKBKG;ANXA1;1;Incoherent Outgoing: Source ANXA1 (-2.3093750185772484) vs Target IKBKG (0.638446809596406)
LAPTM5;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target LAPTM5 (1.8814542444449902)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.662663456190968) vs Target MCL1 (0.9312367637508352)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.2906909916991385) vs Target MCL1 (0.9312367637508352)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (1.9273422627348893) vs Target MCL1 (0.9312367637508352)
NFE2L2;EZH2;-1;Incoherent Outgoing: Source EZH2 (4.145061955314543) vs Target NFE2L2 (0.39836545001786927)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (2.026215652241147) vs Target PARP1 (2.153753789014589)
PLAU;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target PLAU (1.9652884289983925)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.662663456190968) vs Target PLAUR (2.447679115393832)
RELA;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.2335171838659011) vs Target RELA (0.9768297265758967)
RELA;SQSTM1;-1;Incoherent Outgoing: Source SQSTM1 (1.560232233703748) vs Target RELA (0.9768297265758967)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.1530644527846867) vs Target RELA (0.9768297265758967)
ST14;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target ST14 (1.416475216106348)
STAT3;CCND1;-1;Incoherent Outgoing: Source CCND1 (1.8667816119198921) vs Target STAT3 (0.7406224927500888)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.8004066146901287) vs Target STAT5A (-2.0316270227362505)
SYNPO;YWHAB;1;Incoherent Outgoing: Source YWHAB (1.2721004861336542) vs Target SYNPO (-0.7267604375280392)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-3.0624244270279357) vs Target TGFB1 (0.6746874845356219)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (1.8004066146901287) vs Target TGFB1 (0.6746874845356219)
TP53;ARRB1;-1;Incoherent Outgoing: Source ARRB1 (-1.2335171838659011) vs Target TP53 (-1.0129871891104036)
TP53;BID;1;Incoherent Outgoing: Source BID (1.0932272368913996) vs Target TP53 (-1.0129871891104036)
TP53;HIF1A;1;Incoherent Outgoing: Source HIF1A (1.0137019354573944) vs Target TP53 (-1.0129871891104036)
TP53;IRF9;1;Incoherent Outgoing: Source IRF9 (2.5438353939550478) vs Target TP53 (-1.0129871891104036)
TP53;PARP1;1;Incoherent Outgoing: Source PARP1 (2.153753789014589) vs Target TP53 (-1.0129871891104036)
TP53;STAT1;1;Incoherent Outgoing: Source STAT1 (2.1530644527846867) vs Target TP53 (-1.0129871891104036)
TP53;YWHAB;1;Incoherent Outgoing: Source YWHAB (1.2721004861336542) vs Target TP53 (-1.0129871891104036)
TRIB3;TP53;1;Incoherent Outgoing: Source TP53 (-1.0129871891104036) vs Target TRIB3 (0.5914895616207652)
