Patient_ID,GeneSymbol,logFC
GSM1589016,EZH2,4.654840628833743
GSM1589016,CDC20,4.4730963046892676
GSM1589016,STAT1,3.5952654060581803
GSM1589016,BCL2A1,3.141612698881117
GSM1589016,TRIP13,3.0322878051784077
GSM1589016,BIRC5,2.779336481709482
GSM1589016,IRF9,2.431002530299647
GSM1589016,CASP3,2.4275715386215477
GSM1589016,TK1,2.399050104142927
GSM1589016,HSP90AB1,2.26509378067316
GSM1589016,PLAU,2.2357085214737733
GSM1589016,PARP1,2.190501684038539
GSM1589016,LAPTM5,1.955154076162831
GSM1589016,PLAUR,1.9239610893066192
GSM1589016,PMAIP1,1.9139761603078096
GSM1589016,HMGCR,1.8221855376249056
GSM1589016,UBQLN1,1.7903816417890805
GSM1589016,BTG3,1.771391543217872
GSM1589016,BRCA1,1.5017456160124558
GSM1589016,CREB1,1.469932476604515
GSM1589016,HIF1A,1.4530850551451948
GSM1589016,CSNK2B,1.409393192310894
GSM1589016,MAP3K7,1.3977034905462453
GSM1589016,CASP6,1.3403131047405852
GSM1589016,NFKB1,1.3286646498637333
GSM1589016,MTA1,1.324778214308071
GSM1589016,WWP1,1.321887615965732
GSM1589016,UBE2D1,1.310633673585838
GSM1589016,AR,1.2926939428041804
GSM1589016,XIAP,1.2319111852374274
GSM1589016,GABPA,1.2315010802606503
GSM1589016,TRIB3,1.2242205318591548
GSM1589016,CASP7,1.2137434974211283
GSM1589016,IFI16,1.0347978088055623
GSM1589016,MCM7,1.0071853072150638
GSM1589016,IRF2BP2,1.0071288269406828
GSM1589016,DDR1,0.9905926541752343
GSM1589016,DIABLO,0.9422120561414911
GSM1589016,STAT3,0.9338486938730304
GSM1589016,MCL1,0.9115504645557451
GSM1589016,SLC3A2,0.8672360134773385
GSM1589016,SOD1,0.8533582272170559
GSM1589016,HINT1,0.8375219122585058
GSM1589016,SAT1,0.8253967468318617
GSM1589016,REL,0.8136878096240974
GSM1589016,CDKN1A,0.7842122054447209
GSM1589016,ACTB,0.7035201939946436
GSM1589016,ATF2,0.6916614514870183
GSM1589016,MYC,0.6487017346814632
GSM1589016,HDAC1,0.6445638211099673
GSM1589016,YWHAB,0.6109421703225539
GSM1589016,RB1,0.5829819437599415
GSM1589016,RELA,0.5466363474180858
GSM1589016,BAX,0.5412618964845768
GSM1589016,GADD45B,0.5387896297484511
GSM1589016,SMAD4,0.49749220296254393
GSM1589016,ERBB2,0.4687077610033539
GSM1589016,CD44,0.45970360007228805
GSM1589016,CASP2,0.4524875620621316
GSM1589016,TGFB1,0.4478421382230078
GSM1589016,CASP8,0.4409413083799434
GSM1589016,BID,0.44086810844908264
GSM1589016,PAX6,0.4317132236031318
GSM1589016,CYCS,0.420986538870018
GSM1589016,TGFBR1,0.4053498346247437
GSM1589016,TP53,0.29987522515357146
GSM1589016,ARAF,0.2987313726112619
GSM1589016,BCL2L11,0.2897581191850245
GSM1589016,PML,0.28561793763369536
GSM1589016,E2F1,0.2781337560659489
GSM1589016,HSPB1,0.2586082398203704
GSM1589016,ST14,0.22475797862175195
GSM1589016,FADD,0.16948233096838994
GSM1589016,IKBKG,0.16104810874868125
GSM1589016,BCL2L1,0.14473864596858466
GSM1589016,PSMD4,0.13151531299629227
GSM1589016,USP7,0.127201736801279
GSM1589016,APAF1,0.11807082840200334
