Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0921064897333999) vs Target ACTB (1.1490190327412577)
ACTB;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target ACTB (1.1490190327412577)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.0199065307857786) vs Target BAX (2.833753306996652)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.851582027652487) vs Target BAX (2.833753306996652)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.3274865013100934) vs Target BCL2 (-1.046503785145088)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2678996737211818) vs Target BCL2 (-1.046503785145088)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-3.6533128766991902) vs Target BCL2L1 (0.4787108386020398)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (3.842470629645158) vs Target BCL2L1 (0.4787108386020398)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.2286312859385387) vs Target BCL2L1 (0.4787108386020398)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6649820597165599) vs Target BCL2L1 (0.4787108386020398)
BCL2L1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target BCL2L1 (0.4787108386020398)
BID;CASP3;1;Incoherent Outgoing: Source CASP3 (1.6557408410592984) vs Target BID (-0.9217867970225679)
BID;STAT1;1;Incoherent Outgoing: Source STAT1 (3.887478699553723) vs Target BID (-0.9217867970225679)
BID;TP53;1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target BID (-0.9217867970225679)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.0859695655325048) vs Target BRCA1 (0.8641453146689564)
BRCA1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target BRCA1 (0.8641453146689564)
CASP3;BIRC2;-1;Incoherent Outgoing: Source BIRC2 (1.041677046758716) vs Target CASP3 (1.6557408410592984)
CASP7;BIRC2;-1;Incoherent Outgoing: Source BIRC2 (1.041677046758716) vs Target CASP7 (1.0369668336702977)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (3.556551885173999) vs Target CASP7 (1.0369668336702977)
CASP8;BIRC2;-1;Incoherent Outgoing: Source BIRC2 (1.041677046758716) vs Target CASP8 (0.9790471576313529)
CASP8;RXRA;1;Incoherent Outgoing: Source RXRA (-1.041388057293732) vs Target CASP8 (0.9790471576313529)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (2.0149536829713766) vs Target CAV1 (-1.908536625812138)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.5019777045534584) vs Target CAV1 (-1.908536625812138)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.8938140539285966) vs Target CREB1 (1.2678996737211818)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.1490190327412577) vs Target CSNK2B (1.1118075329681947)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (3.556551885173999) vs Target EGFR (-0.5667156729602381)
ETS1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target ETS1 (0.8188127694886536)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6649820597165599) vs Target EZH2 (3.346683343995184)
EZH2;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target EZH2 (3.346683343995184)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6649820597165599) vs Target HDAC1 (0.7634997333230658)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.8938140539285966) vs Target HIF1A (1.3866953712727934)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.046503785145088) vs Target HIF1A (1.3866953712727934)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (3.887478699553723) vs Target HIF1A (1.3866953712727934)
HIF1A;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target HIF1A (1.3866953712727934)
HSP90AB1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target HSP90AB1 (3.0671703114907594)
IKBKG;BIRC2;1;Incoherent Outgoing: Source BIRC2 (1.041677046758716) vs Target IKBKG (-0.33268305868952375)
IKBKG;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (3.0671703114907594) vs Target IKBKG (-0.33268305868952375)
IKBKG;MAP3K7;1;Incoherent Outgoing: Source MAP3K7 (2.201993438727026) vs Target IKBKG (-0.33268305868952375)
KRT15;TP53;1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target KRT15 (-2.198637815401124)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (3.887478699553723) vs Target KRT17P5 (-0.7170195042185625)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.908536625812138) vs Target MCL1 (1.851582027652487)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (3.842470629645158) vs Target MCL1 (1.851582027652487)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.2286312859385387) vs Target MCL1 (1.851582027652487)
MCM7;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target MCM7 (0.37775514424439294)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.7972666334312475) vs Target MTA1 (0.7002921750627307)
MTA1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target MTA1 (0.7002921750627307)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.6557408410592984) vs Target PARP1 (1.7972666334312475)
PLAT;ATF2;1;Incoherent Outgoing: Source ATF2 (1.0987191737414896) vs Target PLAT (-1.9561477369028104)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2678996737211818) vs Target PLAT (-1.9561477369028104)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.908536625812138) vs Target PLAUR (2.0149536829713766)
PLAUR;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target PLAUR (2.0149536829713766)
PMAIP1;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.046503785145088) vs Target PMAIP1 (2.2286312859385387)
REL;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.3274865013100934) vs Target REL (1.0152898888814716)
RELA;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.8938140539285966) vs Target RELA (0.5166076812640608)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (3.887478699553723) vs Target RELA (0.5166076812640608)
RELA;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target RELA (0.5166076812640608)
SETDB1;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target SETDB1 (0.5164765689211741)
STAT1;RXRA;1;Incoherent Outgoing: Source RXRA (-1.041388057293732) vs Target STAT1 (3.887478699553723)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (3.0671703114907594) vs Target STAT5A (-1.6649820597165599)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-3.6533128766991902) vs Target TGFB1 (0.3339096438981475)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (3.0671703114907594) vs Target TGFB1 (0.3339096438981475)
TP53;CSNK2B;-1;Incoherent Outgoing: Source CSNK2B (1.1118075329681947) vs Target TP53 (1.398455607977711)
TP53;EZH2;-1;Incoherent Outgoing: Source EZH2 (3.346683343995184) vs Target TP53 (1.398455607977711)
TP53;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (3.0671703114907594) vs Target TP53 (1.398455607977711)
TP53;PLAU;-1;Incoherent Outgoing: Source PLAU (3.4627181112836283) vs Target TP53 (1.398455607977711)
TP53;STAT3;-1;Incoherent Outgoing: Source STAT3 (1.5019777045534584) vs Target TP53 (1.398455607977711)
VIM;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.8938140539285966) vs Target VIM (0.7954157791639851)
VIM;CREB1;-1;Incoherent Outgoing: Source CREB1 (1.2678996737211818) vs Target VIM (0.7954157791639851)
VIM;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6649820597165599) vs Target VIM (0.7954157791639851)
VIM;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target VIM (0.7954157791639851)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6649820597165599) vs Target XIAP (0.8200430546272024)
XIAP;TP53;-1;Incoherent Outgoing: Source TP53 (1.398455607977711) vs Target XIAP (0.8200430546272024)
