Patient_ID,GeneSymbol,logFC
GSM1589031,CDC20,3.996842042201317
GSM1589031,EZH2,3.8784957062183834
GSM1589031,HSP90AB1,3.4739961432103907
GSM1589031,BCL2A1,3.1819766757410166
GSM1589031,STAT1,2.7418293890021435
GSM1589031,TRIP13,2.7401869604584377
GSM1589031,IFI16,2.6576562189572073
GSM1589031,TK1,2.5776431449086763
GSM1589031,PLAU,2.5134543739817428
GSM1589031,BIRC5,2.4264373815350107
GSM1589031,BAX,2.3130088088702223
GSM1589031,PMAIP1,2.298688672119029
GSM1589031,TM4SF1,2.215817885349386
GSM1589031,BCL11A,2.171975412959621
GSM1589031,MYC,2.139169045529714
GSM1589031,CASP3,2.037635684046858
GSM1589031,LAPTM5,2.00184901357294
GSM1589031,PLAUR,1.9853510365772662
GSM1589031,MAP3K7,1.9483817119520204
GSM1589031,STAT3,1.7818842886511481
GSM1589031,CREB1,1.7698030556319582
GSM1589031,PARP1,1.652226568612038
GSM1589031,HMGCR,1.6409704399183305
GSM1589031,IRF9,1.530596458945638
GSM1589031,UBE2D1,1.5144617554688242
GSM1589031,MCL1,1.4856353330512473
GSM1589031,TP53,1.4588861939278308
GSM1589031,IRF2BP2,1.3355127455564464
GSM1589031,CSNK2B,1.331167158895795
GSM1589031,BID,1.302471666089252
GSM1589031,ACTB,1.234273804591318
GSM1589031,CD44,1.184962241253058
GSM1589031,FADD,1.0949829758532799
GSM1589031,GADD45B,1.091604554665241
GSM1589031,ETS1,1.0604333083995456
GSM1589031,VIM,0.9133501740655863
GSM1589031,XIAP,0.8582207813394813
GSM1589031,RELA,0.8292635766656158
GSM1589031,SAT1,0.819833658429296
GSM1589031,UBQLN1,0.7946026593135649
GSM1589031,SLC3A2,0.7448719818722473
GSM1589031,CASP8,0.7038132071474097
GSM1589031,NFKB1,0.6912723617112819
GSM1589031,ST14,0.6904555959647452
GSM1589031,HIF1A,0.6589256398541945
GSM1589031,NEDD9,0.6437323277538596
GSM1589031,CDKN1A,0.6291352571506703
GSM1589031,PSMD4,0.6203478642831506
GSM1589031,ERBB2,0.6114146754161975
GSM1589031,PIK3CA,0.59642354806308
GSM1589031,SETDB1,0.5904289921508497
GSM1589031,BCL2L11,0.5867632636476863
GSM1589031,SOD1,0.5713313100501551
GSM1589031,BIRC2,0.5547755756575157
GSM1589031,DAXX,0.510811380347918
GSM1589031,CASP2,0.5077427996767048
GSM1589031,ATF2,0.5057237142605953
GSM1589031,ARNT,0.48815091555826573
GSM1589031,DDR1,0.47794374500701053
GSM1589031,MCM7,0.45574273772061424
GSM1589031,APAF1,0.44840663468426634
GSM1589031,CYCS,0.44609228141238777
GSM1589031,SMAD4,0.4369007256802977
GSM1589031,BCL6,0.4358911344617251
GSM1589031,REL,0.4292186480129132
GSM1589031,YWHAB,0.3911904301744542
GSM1589031,CASP6,0.34446602336783005
GSM1589031,TGFBR1,0.33346736357204243
GSM1589031,TGFB1,0.3309435251636321
GSM1589031,NFE2L2,0.3267615187654851
GSM1589031,BRCA1,0.3209673797982413
GSM1589031,SERPINA3,0.3187182650461402
GSM1589031,HDAC1,0.31535508080607677
GSM1589031,DIABLO,0.27831635508309205
GSM1589031,NCOA4,0.258791796416169
GSM1589031,CASP7,0.22149243399607865
GSM1589031,TNRC6A,0.2168973794803879
GSM1589031,CTSD,0.2165060796837679
GSM1589031,BCL2L1,0.21007906016532463
GSM1589031,HINT1,0.20921785176674845
GSM1589031,RB1,0.1730535351272975
GSM1589031,BAD,0.16068931028719113
GSM1589031,A2M,0.15666155842654028
GSM1589031,SQSTM1,0.14869422936855248
GSM1589031,BTG3,0.13403496261238956
GSM1589031,E2F4,0.10392450722900737
