Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.2586063116526098) vs Target ACTB (1.234273804591318)
ACTB;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target ACTB (1.234273804591318)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.3355127455564464) vs Target BAX (2.3130088088702223)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.4856353330512473) vs Target BAX (2.3130088088702223)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.7698030556319582) vs Target BCL2 (-0.3932044291880201)
BRCA1;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target BRCA1 (0.3209673797982413)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (2.037635684046858) vs Target CASP10 (-0.45309917299727065)
CASP10;FADD;1;Incoherent Outgoing: Source FADD (1.0949829758532799) vs Target CASP10 (-0.45309917299727065)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (2.037635684046858) vs Target CASP9 (-0.641288961575464)
CAV1;ETS1;1;Incoherent Outgoing: Source ETS1 (1.0604333083995456) vs Target CAV1 (-2.119499631565443)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.9853510365772662) vs Target CAV1 (-2.119499631565443)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.7818842886511481) vs Target CAV1 (-2.119499631565443)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-2.119499631565443) vs Target CCND1 (-0.9614456517489716)
CCND1;CREB1;1;Incoherent Outgoing: Source CREB1 (1.7698030556319582) vs Target CCND1 (-0.9614456517489716)
CCND1;ETS1;1;Incoherent Outgoing: Source ETS1 (1.0604333083995456) vs Target CCND1 (-0.9614456517489716)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (3.8784957062183834) vs Target CCND1 (-0.9614456517489716)
CCND1;NR3C1;-1;Incoherent Outgoing: Source NR3C1 (-1.0899183734864772) vs Target CCND1 (-0.9614456517489716)
CCND1;PARP1;1;Incoherent Outgoing: Source PARP1 (1.652226568612038) vs Target CCND1 (-0.9614456517489716)
CCND1;STAT1;1;Incoherent Outgoing: Source STAT1 (2.7418293890021435) vs Target CCND1 (-0.9614456517489716)
CD82;TP53;1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target CD82 (-0.415071951014391)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7512296565025913) vs Target CREB1 (1.7698030556319582)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.234273804591318) vs Target CSNK2B (1.331167158895795)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (2.7401869604584377) vs Target EGFR (-0.39279421980719675)
EPHA2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.7698030556319582) vs Target EPHA2 (-0.8849997427568752)
EPHA2;ETS1;1;Incoherent Outgoing: Source ETS1 (1.0604333083995456) vs Target EPHA2 (-0.8849997427568752)
EPHA2;TP53;1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target EPHA2 (-0.8849997427568752)
ETS1;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target ETS1 (1.0604333083995456)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.05764086982812) vs Target EZH2 (3.8784957062183834)
EZH2;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target EZH2 (3.8784957062183834)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-2.05764086982812) vs Target HDAC1 (0.31535508080607677)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7512296565025913) vs Target HIF1A (0.6589256398541945)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.7418293890021435) vs Target HIF1A (0.6589256398541945)
HIF1A;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target HIF1A (0.6589256398541945)
HSP90AB1;TP53;-1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target HSP90AB1 (3.4739961432103907)
IKBKG;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (3.4739961432103907) vs Target IKBKG (-0.5929769822303879)
IKBKG;MAP3K7;1;Incoherent Outgoing: Source MAP3K7 (1.9483817119520204) vs Target IKBKG (-0.5929769822303879)
KRT15;TP53;1;Incoherent Outgoing: Source TP53 (1.4588861939278308) vs Target KRT15 (-0.969453896684664)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (2.7418293890021435) vs Target KRT17P5 (-0.521718013591153)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-2.119499631565443) vs Target MCL1 (1.4856353330512473)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (3.996842042201317) vs Target MCL1 (1.4856353330512473)
