Target_Gene;Source_Gene;Interaction_Type;Reason
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0125756208632932) vs Target ACTB (1.2714703497647157)
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.761367827551526) vs Target AKT2 (-0.7052203447337106)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.3777299787322264) vs Target BAX (1.675490268510182)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.7000305087929544) vs Target BAX (1.675490268510182)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.4607671542535927) vs Target BCL2 (-1.3023224532474051)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.3886455117104664) vs Target BCL2 (-1.3023224532474051)
BCL2;TP53;-1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target BCL2 (-1.3023224532474051)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.2865780113223941) vs Target BID (0.792618459398839)
BID;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target BID (0.792618459398839)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.1062307044196853) vs Target BRCA1 (0.6037816882477065)
BTG3;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target BTG3 (1.625534789506757)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (2.0140840357596286) vs Target CASP10 (-0.38994059637336864)
CASP10;FADD;1;Incoherent Outgoing: Source FADD (2.314845938017279) vs Target CASP10 (-0.38994059637336864)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (2.122414762542218) vs Target CASP7 (0.4025017856253985)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (2.0140840357596286) vs Target CASP9 (-0.448234240146717)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (3.462970882899727) vs Target CAV1 (-1.3933416490877857)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.2187330148232087) vs Target CAV1 (-1.3933416490877857)
CAV1;TP53;-1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target CAV1 (-1.3933416490877857)
CCND1;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.2865780113223941) vs Target CCND1 (2.4322755464004384)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.81920678343399) vs Target CCND1 (2.4322755464004384)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.6047178548209216) vs Target CREB1 (1.3886455117104664)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.2714703497647157) vs Target CSNK2B (0.7989220179970946)
CTSD;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target CTSD (0.7371356466608088)
DDR1;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target DDR1 (0.7467840601610352)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.6047178548209216) vs Target E2F1 (0.43194273823428464)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.625534789506757) vs Target E2F1 (0.43194273823428464)
E2F1;IFI16;-1;Incoherent Outgoing: Source IFI16 (1.64562642649547) vs Target E2F1 (0.43194273823428464)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.4607671542535927) vs Target E2F1 (0.43194273823428464)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.5966418274389387) vs Target E2F1 (0.43194273823428464)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (2.122414762542218) vs Target EGFR (-0.6197620923098475)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.81920678343399) vs Target EZH2 (3.644198024314174)
GADD45B;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target GADD45B (0.546486483366051)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.81920678343399) vs Target HDAC1 (0.4613828117205472)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.6047178548209216) vs Target HIF1A (1.2865780113223941)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.3023224532474051) vs Target HIF1A (1.2865780113223941)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.786185249923946) vs Target HIF1A (1.2865780113223941)
IFI16;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target IFI16 (1.64562642649547)
IKBKG;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.761367827551526) vs Target IKBKG (-0.4990995993590932)
IKBKG;MAP3K7;1;Incoherent Outgoing: Source MAP3K7 (1.743833731773143) vs Target IKBKG (-0.4990995993590932)
INSR;PPARG;1;Incoherent Outgoing: Source PPARG (-3.0890693865883785) vs Target INSR (0.8436249891169432)
LAPTM5;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target LAPTM5 (2.018544690919457)
MAPK3;VIM;1;Incoherent Outgoing: Source VIM (1.826591922192545) vs Target MAPK3 (-1.1062307044196853)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.3933416490877857) vs Target MCL1 (1.7000305087929544)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.677017124577418) vs Target MCL1 (1.7000305087929544)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (3.0484076296264533) vs Target MCL1 (1.7000305087929544)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.5966418274389387) vs Target MTA1 (0.3836173666684761)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (2.0140840357596286) vs Target PARP1 (1.5966418274389387)
PAX6;PPARG;1;Incoherent Outgoing: Source PPARG (-3.0890693865883785) vs Target PAX6 (2.9939860181831266)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.3886455117104664) vs Target PLAT (-0.5602039631570914)
PLAU;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target PLAU (2.227823753486888)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.3933416490877857) vs Target PLAUR (3.462970882899727)
PMAIP1;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.3023224532474051) vs Target PMAIP1 (3.0484076296264533)
RB1;CREB1;1;Incoherent Outgoing: Source CREB1 (1.3886455117104664) vs Target RB1 (-0.5175061161506829)
REL;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.4607671542535927) vs Target REL (0.9142943275434741)
RELA;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.6047178548209216) vs Target RELA (0.7611029612419156)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.786185249923946) vs Target RELA (0.7611029612419156)
SERPINA3;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target SERPINA3 (1.9560288327892401)
ST14;TP53;1;Incoherent Outgoing: Source TP53 (-1.253229837749589) vs Target ST14 (0.48030061039239946)
STAT1;RXRA;1;Incoherent Outgoing: Source RXRA (-1.1014380032549225) vs Target STAT1 (2.786185249923946)
STAT3;CCND1;-1;Incoherent Outgoing: Source CCND1 (2.4322755464004384) vs Target STAT3 (1.2187330148232087)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.761367827551526) vs Target STAT5A (-1.81920678343399)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-3.1186820489569858) vs Target TGFB1 (0.3613010152177818)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (2.761367827551526) vs Target TGFB1 (0.3613010152177818)
TNRC6A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.761367827551526) vs Target TNRC6A (-0.30475423391238454)
TP53;ARRB1;-1;Incoherent Outgoing: Source ARRB1 (-1.6047178548209216) vs Target TP53 (-1.253229837749589)
TP53;BCL2;-1;Incoherent Outgoing: Source BCL2 (-1.3023224532474051) vs Target TP53 (-1.253229837749589)
TP53;CREB1;1;Incoherent Outgoing: Source CREB1 (1.3886455117104664) vs Target TP53 (-1.253229837749589)
TP53;HIF1A;1;Incoherent Outgoing: Source HIF1A (1.2865780113223941) vs Target TP53 (-1.253229837749589)
TP53;IFI16;1;Incoherent Outgoing: Source IFI16 (1.64562642649547) vs Target TP53 (-1.253229837749589)
TP53;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.4607671542535927) vs Target TP53 (-1.253229837749589)
TP53;PARP1;1;Incoherent Outgoing: Source PARP1 (1.5966418274389387) vs Target TP53 (-1.253229837749589)
TP53;STAT1;1;Incoherent Outgoing: Source STAT1 (2.786185249923946) vs Target TP53 (-1.253229837749589)
USP7;STAT3;1;Incoherent Outgoing: Source STAT3 (1.2187330148232087) vs Target USP7 (-0.3434051149317794)
