Patient_ID,GeneSymbol,logFC
GSM1589004,STAT1,4.798370545939408
GSM1589004,TRIP13,4.252502673044708
GSM1589004,CDC20,4.129474665526978
GSM1589004,PMAIP1,4.12802805836516
GSM1589004,BCL2A1,4.119029944307237
GSM1589004,BIRC5,3.3157930708113765
GSM1589004,HSP90AB1,3.183666233985859
GSM1589004,LAPTM5,2.8612323612197414
GSM1589004,EZH2,2.780996648542313
GSM1589004,TK1,2.738811636058272
GSM1589004,IFI16,2.4802952823139393
GSM1589004,MCL1,2.138180921987587
GSM1589004,BTG3,2.0822928723022818
GSM1589004,IRF9,2.026346035108398
GSM1589004,BAX,1.9600711671973121
GSM1589004,PLAU,1.9194966011087224
GSM1589004,SAT1,1.7925042070278625
GSM1589004,CASP3,1.7918777138344275
GSM1589004,REL,1.7323380961895998
GSM1589004,PLAUR,1.7293480522685956
GSM1589004,CCND1,1.721654210277908
GSM1589004,CREB1,1.7165263497747416
GSM1589004,MAP3K7,1.6918156462207552
GSM1589004,UBQLN1,1.6313804454005947
GSM1589004,MAP3K5,1.5413110752015013
GSM1589004,KRT5,1.398298965215
GSM1589004,ETS1,1.3833350178898023
GSM1589004,TM4SF1,1.3788572383456277
GSM1589004,CASP8,1.272716721048396
GSM1589004,IRF2BP2,1.1889357342109719
GSM1589004,BID,1.18446789825044
GSM1589004,CD82,1.1615408284914297
GSM1589004,MYC,1.1429939161567848
GSM1589004,UBE2D1,1.090118887846101
GSM1589004,ACTB,1.0866778970219517
GSM1589004,PARP1,1.0835990947526088
GSM1589004,NFKB1,1.0695228234869623
GSM1589004,SLC3A2,1.0565154602972573
GSM1589004,RB1,1.0331974387957867
GSM1589004,DIABLO,1.0282154607513512
GSM1589004,CTSD,1.0109764074344287
GSM1589004,TGFB1,1.0059745937304276
GSM1589004,CASP2,0.9914618201438419
GSM1589004,HMGCR,0.9596308476697502
GSM1589004,TRIB3,0.9497402689582897
GSM1589004,HIF1A,0.9480536131394945
GSM1589004,XIAP,0.9340909988280011
GSM1589004,BAK1,0.8802137111785795
GSM1589004,CASP7,0.859456688030888
GSM1589004,WWP1,0.8500127130299422
GSM1589004,BIRC2,0.8484799174987163
GSM1589004,NCOA4,0.743925874708669
GSM1589004,CSNK2B,0.6841813757657942
GSM1589004,SQSTM1,0.6834790125783554
GSM1589004,PIK3CA,0.6406684652143193
GSM1589004,BCL11A,0.6399627699180899
GSM1589004,PML,0.6193433970237532
GSM1589004,STAT3,0.5840727869474849
GSM1589004,RELA,0.5771230331413459
GSM1589004,NFE2L2,0.5625055673379862
GSM1589004,ATF2,0.5149893252328557
GSM1589004,GADD45B,0.5049532052105112
GSM1589004,HSPB1,0.4741993995783709
GSM1589004,FOS,0.4722559657806311
GSM1589004,CD44,0.47220623064257694
GSM1589004,HDAC1,0.4680510289274462
GSM1589004,GABPA,0.4667104975409009
GSM1589004,YWHAB,0.4548086947535257
GSM1589004,ARAF,0.44658539752284643
GSM1589004,CDKN1A,0.42280623587994093
GSM1589004,BCL2L11,0.4142045940160326
GSM1589004,BCL2L1,0.3932453211281599
GSM1589004,FADD,0.36055834172374013
GSM1589004,CYCS,0.3333642149050213
GSM1589004,PSMD4,0.2806535021626271
GSM1589004,TGFBR1,0.2752904421506379
GSM1589004,CASP6,0.25989477466208033
GSM1589004,TGFBR2,0.24558025357244873
GSM1589004,MTA1,0.1590901728669616
GSM1589004,SMAD4,0.1505395752391543
GSM1589004,SETDB1,0.14856921718843985
GSM1589004,SOD1,0.14361170425385517
GSM1589004,APAF1,0.13598991062067256
GSM1589004,LDHB,0.1355115510575562
GSM1589004,ST14,0.12947579874009474
GSM1589004,EPHA2,0.09930309868864473
GSM1589004,ARNT,0.09137501843860285
GSM1589004,PPARD,0.055520800601200904
GSM1589004,BAD,-0.023780605926865483
GSM1589004,NEDD9,-0.04131684212385611
GSM1589004,DAXX,-0.05251568038192911
GSM1589004,PAX6,-0.11920375821786866
GSM1589004,S100A10,-0.13662731788902427
GSM1589004,NR3C1,-0.1549424044317238
GSM1589004,MAPK4,-0.16889036895779164
GSM1589004,HINT1,-0.17003730104255155
GSM1589004,TNRC6A,-0.17608317532644335
GSM1589004,AKT2,-0.19902474757557975
GSM1589004,E2F1,-0.20224865657204116
GSM1589004,TRADD,-0.2144525855887256
GSM1589004,ERBB2,-0.23415565877536615
GSM1589004,SERPINA3,-0.24023266127476894
GSM1589004,CASP10,-0.2542082262580587
GSM1589004,TRIM29,-0.2672926409508083
GSM1589004,IKBKG,-0.2749613383859426
GSM1589004,MCM7,-0.28365394871252647
GSM1589004,MAP3K4,-0.32604617305788963
GSM1589004,CASP9,-0.34169805012844456
GSM1589004,EGFR,-0.357993420296677
GSM1589004,ETV1,-0.36259923771115066
GSM1589004,DDR1,-0.3721560154330934
GSM1589004,RXRA,-0.42809096375745703
GSM1589004,SMAD3,-0.4360466858382548
GSM1589004,E2F4,-0.49716959194758825
GSM1589004,BCL2,-0.5923855925075276
GSM1589004,VIM,-0.5942123696138495
GSM1589004,ITGB4,-0.5983140202408324
GSM1589004,CYP3A4,-0.6064245496013507
GSM1589004,KRT17P5,-0.6531917912636027
GSM1589004,TP53,-0.6871735370000236
GSM1589004,USP7,-0.7308087708876592
GSM1589004,BRCA1,-0.7520638431778135
GSM1589004,INSR,-0.77551918771562
GSM1589004,A2M,-0.9596625393826992
GSM1589004,SYNPO,-1.0398277546308563
GSM1589004,MAPK3,-1.127731951984245
GSM1589004,PPARG,-1.419386785600139
GSM1589004,BCL6,-1.4543742024116462
GSM1589004,ANXA1,-1.4911048450529938
GSM1589004,PLK2,-1.6786544827865217
GSM1589004,STAT5A,-1.7071430151199198
GSM1589004,ARRB1,-1.7321723125484443
GSM1589004,PLAT,-2.3712174459108004
GSM1589004,CAV1,-2.8870369246221426
GSM1589004,KRT15,-2.942077142487353
GSM1589004,AR,-3.5894783285345504
