Patient_ID,GeneSymbol,logFC
GSM1589017,BCL2A1,7.975706014366276
GSM1589017,CDC20,4.3901150460158185
GSM1589017,EZH2,4.083162982886663
GSM1589017,PMAIP1,2.977618074843045
GSM1589017,STAT1,2.928959975606011
GSM1589017,TRIP13,2.9238125053922985
GSM1589017,HSP90AB1,2.745914051559291
GSM1589017,BIRC5,2.6551866211695945
GSM1589017,BAX,2.5221536999362026
GSM1589017,MYC,2.330504321058214
GSM1589017,PARP1,2.3016632271965385
GSM1589017,LAPTM5,2.298192624858041
GSM1589017,TK1,2.2484960078084617
GSM1589017,CYCS,1.9141999190523782
GSM1589017,MCM7,1.8402725952293633
GSM1589017,PLAUR,1.8106964969195687
GSM1589017,BCL11A,1.6778045644399855
GSM1589017,IFI16,1.623705306064485
GSM1589017,CASP3,1.5318921960205678
GSM1589017,HMGCR,1.516507363482961
GSM1589017,LDHB,1.4999816391044565
GSM1589017,MCL1,1.4979696932306368
GSM1589017,IRF9,1.4921233965059688
GSM1589017,TP53,1.3942172202392156
GSM1589017,REL,1.245681333241695
GSM1589017,PLAU,1.2218682853693776
GSM1589017,MAP3K7,1.1468577641879332
GSM1589017,PSMD4,1.1393196961764396
GSM1589017,BID,1.1002901645061565
GSM1589017,BCL2L11,1.0312668369802012
GSM1589017,HIF1A,0.975023965257094
GSM1589017,CREB1,0.9686741588917052
GSM1589017,NFKB1,0.9468593842246529
GSM1589017,CASP2,0.9427997079167847
GSM1589017,TM4SF1,0.9228187339756033
GSM1589017,UBQLN1,0.8529088893145715
GSM1589017,SETDB1,0.822538369485315
GSM1589017,STAT3,0.7965973594680831
GSM1589017,CSNK2B,0.7739055056428938
GSM1589017,CASP6,0.7736154770555901
GSM1589017,ACTB,0.7493123319639903
GSM1589017,UBE2D1,0.7106732872885715
GSM1589017,HDAC1,0.6906978325304873
GSM1589017,ETS1,0.6780582075537822
GSM1589017,IRF2BP2,0.674952137944766
GSM1589017,PML,0.6415345898906786
GSM1589017,DIABLO,0.624349788491072
GSM1589017,CD44,0.6183236832928518
GSM1589017,E2F1,0.6159685890536695
GSM1589017,SQSTM1,0.5943346953750348
GSM1589017,BTG3,0.5940573033700396
GSM1589017,BRCA1,0.5632377338706505
GSM1589017,SLC3A2,0.5471251541404278
GSM1589017,NCOA4,0.5317687409725682
GSM1589017,SAT1,0.5265103115108989
