GeneSymbol,Diff,Boolean
A2M,-0.9897932502746905,0
ACTB,1.0126936825067308,0
AKT2,-0.3474233596031491,0
ANXA1,-1.3576695934113818,0
APAF1,0.2622447080957393,0
AR,-2.713935493157,0
ARAF,-0.1317906061051337,0
ARNT,0.23535638372487,0
ARRB1,-0.8210978227566228,0
ATF2,1.0532765547463026,0
BAD,0.616203548180045,0
BAK1,0.014754309323119053,0
BAX,2.0596396562358024,1
BCL11A,1.8006061524060302,1
BCL2,0.3221922194918916,0
BCL2A1,8.147353509216876,1
BCL2L1,0.2786777988829048,0
BCL2L11,0.7288869843174259,0
BCL6,-1.1672338498868058,0
BID,1.9820052632945435,1
BIRC2,1.411654657340513,0
BIRC5,2.40011573615368,1
BRCA1,0.07069276524477175,0
BTG3,0.5662952538026715,0
CASP10,-0.06095141732432907,0
CASP2,0.4211024405758925,0
CASP3,1.785108760745926,1
CASP6,1.2193730706523747,0
CASP7,0.40195542601849876,0
CASP8,1.4583350593057567,0
CASP9,-0.2741446325227246,0
CAV1,-2.4730218062597977,0
CCND1,-0.24807348012878183,0
CD44,1.824358906317821,1
CD82,-0.4931813661724904,0
CDC20,3.882610148102698,1
CDKN1A,0.35862525062422,0
CREB1,1.7131906318848733,1
CSNK2B,0.8004813018147967,0
CTSD,0.2751009404185787,0
CYCS,0.024350979041430243,0
CYP3A4,-0.3766995875326806,0
DAXX,0.05055571519084001,0
DDR1,0.07251958252320811,0
DIABLO,0.6588932826695206,0
E2F1,0.4666572089328094,0
E2F4,-0.2585555539201172,0
EGFR,-0.3814840454071309,0
EPHA2,-0.30028822042619563,0
ERBB2,-0.2389910054343023,0
ETS1,1.442599745738887,0
ETV1,-0.6886662220118787,0
EZH2,3.4630730782629433,1
FADD,0.588345522748809,0
FOS,2.3400033562470206,1
GABPA,0.2611280430328149,0
GADD45B,0.7878762924291678,0
HDAC1,0.8431692532364075,0
HIF1A,0.8460876169552947,0
HINT1,0.2582930357496984,0
HMGCR,0.9974950655844603,0
HSP90AB1,2.618880003843161,1
HSPB1,-0.9421822701440199,0
IFI16,1.9546501111709755,1
IKBKG,0.05739933114386098,0
INSR,-0.8409972300074262,0
IRF2BP2,0.8991276828864834,0
IRF9,1.486763463619961,0
ITGB4,-0.3151860424929902,0
KRT15,-5.453719538998134,0
KRT17P5,-0.5470715462756326,0
KRT5,-3.5331759076097207,0
LAPTM5,3.1064777029930397,1
LDHB,-0.8017959594846946,0
MAP3K4,0.11838535264990391,0
MAP3K5,0.0307863234180612,0
MAP3K7,1.6770105694085986,1
MAPK3,-1.1630374592105976,0
MAPK4,-0.2527135947273851,0
MCL1,1.6655720383907262,1
MCM7,1.1213829233432193,0
MTA1,-0.06419500224949903,0
MYC,2.4231646003996143,1
NCOA4,0.3960185352895689,0
NEDD9,0.06715039200446604,0
NFE2L2,0.36569112640175305,0
NFKB1,2.096699651841722,1
NR3C1,0.06971278252417434,0
PARP1,2.310435835155218,1
PAX6,-0.2502413766351834,0
PIK3CA,0.4486547136444896,0
PLAT,-3.1247811697955505,0
PLAU,1.5545342693957824,1
PLAUR,1.3480807519352096,0
PLK2,-2.149821777128821,0
PMAIP1,4.743957468283593,1
PML,0.2633771245467429,0
PPARD,-0.18666973578005752,0
PPARG,-2.3794730393510077,0
PSMD4,0.5905040942406092,0
RB1,1.081828437947677,0
REL,1.5671069517042575,1
RELA,0.8195876991127662,0
RXRA,-0.27219504224836655,0
S100A10,0.2164551550894558,0
SAT1,1.358937008636433,0
SERPINA3,-0.2624828598268394,0
SETDB1,0.6899903237207319,0
SLC3A2,0.4891739911397579,0
SMAD3,-0.8930515497297842,0
SMAD4,0.5222365713707315,0
SOD1,0.017055401603755627,0
SQSTM1,0.23429965320323287,0
ST14,0.858159561874702,0
STAT1,4.14308934269537,1
STAT3,0.7373135031747253,0
STAT5A,-1.144114702017938,0
SYNPO,-1.0024385726314566,0
TGFB1,0.781564183026827,0
TGFBR1,0.06108173018442997,0
TGFBR2,0.33554332685351884,0
TK1,2.1303933149111325,1
TM4SF1,0.46876553567465074,0
TNRC6A,0.139737289120891,0
TP53,1.2804957483743005,0
TRADD,0.15691320724191105,0
TRIB3,-0.07104429975290039,0
TRIM29,-0.7172368639344278,0
TRIP13,2.896809069778328,1
UBE2D1,0.9599912847537411,0
UBQLN1,1.7811160330946372,1
USP7,-0.12620811407910626,0
VIM,0.9503870070716705,0
WWP1,0.6737077388662378,0
XIAP,1.4121169213485514,0
YWHAB,1.3931039044488216,0
