Target_Gene;Source_Gene;Interaction_Type
HIF1A;ARNT;1
HIF1A;ARRB1;1
HIF1A;ATF2;1
HIF1A;BCL2;1
HIF1A;CREB1;1
HIF1A;E2F1;1
HIF1A;HDAC1;1
HIF1A;HSP90AB1;1
HIF1A;MTA1;1
HIF1A;NFKB1;1
HIF1A;PARP1;1
HIF1A;PSMD4;-1
HIF1A;REL;1
HIF1A;RELA;1
HIF1A;SAT1;1
HIF1A;SQSTM1;-1
HIF1A;STAT3;1
HIF1A;TP53;-1
HMGCR;PARP1;1
HSP90AB1;CSNK2B;1
HSP90AB1;HDAC1;1
HSP90AB1;HSPB1;1
HSP90AB1;STAT1;1
HSP90AB1;STAT3;1
HSP90AB1;TP53;-1
IFI16;TP53;1
IKBKG;ANXA1;1
IKBKG;BIRC2;1
IKBKG;CASP6;-1
IKBKG;CASP8;-1
IKBKG;HSP90AB1;1
IKBKG;MAP3K7;1
IKBKG;SQSTM1;1
ITGB4;AKT2;1
ITGB4;ERBB2;1
ITGB4;HDAC1;-1
ITGB4;NFKB1;1
ITGB4;TP53;-1
KRT15;TP53;1
KRT17P5;BRCA1;-1
KRT17P5;EZH2;-1
KRT17P5;FOS;1
KRT17P5;TP53;-1
KRT5;BRCA1;-1
KRT5;FOS;1
LAPTM5;TP53;1
LDHB;PPARD;1
LDHB;STAT3;1
MAP3K4;GADD45B;1
MAP3K5;ARRB1;-1
MAP3K5;DAXX;1
MAP3K7;TGFBR1;1
MAPK3;VIM;1
MCL1;BCL2L11;-1
MCL1;HIF1A;1
MCM7;CCND1;1
MCM7;E2F1;1
MCM7;RB1;-1
MCM7;TP53;-1
MTA1;PARP1;-1
MTA1;TP53;-1
NEDD9;NR3C1;1
NFE2L2;AKT2;1
NFE2L2;BRCA1;1
NFE2L2;CAV1;-1
NFE2L2;CSNK2B;1
NFE2L2;PML;-1
NFKB1;ARRB1;-1
NFKB1;BRCA1;1
NFKB1;E2F1;-1
NFKB1;ETS1;1
NFKB1;FOS;1
NFKB1;HIF1A;1
NFKB1;PARP1;1
NFKB1;PSMD4;1
NFKB1;RELA;1
NFKB1;TRIP13;1
NFKB1;USP7;1
NR3C1;AR;1
NR3C1;DAXX;-1
PARP1;AKT2;-1
PARP1;ETS1;1
PARP1;CASP9;-1
PLAT;ATF2;1
PLAT;CREB1;1
PLAT;FOS;1
PLAU;ATF2;1
PLAU;ETS1;1
PLAU;HIF1A;1
PLAU;NFKB1;1
PLAU;PLAUR;1
PLAU;RELA;1
PLAU;ST14;1
PLAU;TP53;1
PLAUR;ATF2;1
PLAUR;FOS;1
PLAUR;HIF1A;1
PLAUR;NFKB1;1
PLAUR;PLAU;1
PLAUR;RELA;1
PLAUR;TP53;-1
PLK2;TP53;1
PMAIP1;BCL2;1
PMAIP1;MCL1;1
PML;IRF9;1
PML;RB1;1
PML;STAT1;1
PML;STAT3;1
PML;STAT5A;1
PML;TP53;1
PML;USP7;-1
PPARD;HSP90AB1;1
PPARG;AKT2;1
PPARG;NCOA4;1
PPARG;SMAD3;-1
PSMD4;PARP1;1
RB1;ATF2;1
RB1;BCL6;-1
RB1;BRCA1;1
RB1;CREB1;1
RB1;E2F1;1
RB1;GABPA;1
RB1;HDAC1;-1
RB1;PML;1
REL;BCL11A;1
REL;HIF1A;1
REL;NFKB1;-1
RELA;AKT2;1
RELA;ARRB1;1
RELA;ATF2;1
RELA;BRCA1;1
RELA;CREB1;1
RELA;CSNK2B;1
RELA;DAXX;-1
RELA;E2F1;1
RELA;EZH2;1
RELA;FOS;1
RELA;HIF1A;1
RELA;PARP1;1
RELA;PML;-1
RELA;SQSTM1;-1
RELA;TP53;-1
RELA;TRIB3;-1
S100A10;STAT1;1
SERPINA3;NFKB1;1
SERPINA3;STAT3;1
SERPINA3;TP53;1
SETDB1;AKT2;1
SETDB1;TP53;-1
SLC3A2;NFE2L2;1
SLC3A2;RELA;1
SMAD3;PPARG;1
SMAD4;MAP3K7;1
SOD1;CAV1;-1
SOD1;NFE2L2;1
SOD1;PSMD4;-1
SOD1;RELA;1
SQSTM1;FOS;1
SQSTM1;NFE2L2;1
SQSTM1;NFKB1;1
SQSTM1;RELA;1
ST14;PPARD;1
ST14;STAT1;1
ST14;TP53;1
STAT1;ARRB1;-1
STAT1;BRCA1;1
STAT1;CREB1;1
STAT1;PML;-1
STAT1;RXRA;1
STAT1;SETDB1;1
STAT1;TRADD;1
STAT3;ATF2;1
STAT3;CAV1;-1
STAT3;CD44;1
STAT3;CDKN1A;-1
STAT3;CREB1;1
STAT3;DAXX;-1
STAT3;EZH2;1
STAT3;FOS;1
STAT3;HIF1A;1
