Target_Gene;Source_Gene;Interaction_Type;Reason
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (2.7654854492223464) vs Target BAK1 (0.7252011909482494)
BAK1;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1740552785571197) vs Target BAK1 (0.7252011909482494)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1740552785571197) vs Target BAX (0.651455388611442)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.0123640597044936) vs Target BID (1.4387711457512253)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (2.470501956641738) vs Target CASP7 (0.9390852557911282)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.340782267322167) vs Target CASP9 (-0.33714232038076464)
CAV1;CD82;1;Incoherent Outgoing: Source CD82 (2.897314412731583) vs Target CAV1 (-3.910272256631403)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.1130704123304085) vs Target CAV1 (-3.910272256631403)
CAV1;RELA;1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target CAV1 (-3.910272256631403)
CCND1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target CCND1 (2.4080124147665387)
CCND1;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.0123640597044936) vs Target CCND1 (2.4080124147665387)
DAXX;HSPB1;-1;Incoherent Outgoing: Source HSPB1 (1.6001309537255715) vs Target DAXX (0.8172088357732621)
DAXX;TGFBR2;1;Incoherent Outgoing: Source TGFBR2 (-1.5609100024464562) vs Target DAXX (0.8172088357732621)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.1648003715274537) vs Target E2F1 (0.7504900631874092)
E2F1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target E2F1 (0.7504900631874092)
E2F1;IFI16;-1;Incoherent Outgoing: Source IFI16 (1.3111775070356941) vs Target E2F1 (0.7504900631874092)
E2F1;RELA;-1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target E2F1 (0.7504900631874092)
E2F1;SETDB1;-1;Incoherent Outgoing: Source SETDB1 (1.086980333240489) vs Target E2F1 (0.7504900631874092)
FOS;STAT1;1;Incoherent Outgoing: Source STAT1 (1.57219698013472) vs Target FOS (-0.8522842010187395)
HIF1A;MCM7;-1;Incoherent Outgoing: Source MCM7 (1.512303332487928) vs Target HIF1A (1.0123640597044936)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (1.57219698013472) vs Target HIF1A (1.0123640597044936)
INSR;PPARG;1;Incoherent Outgoing: Source PPARG (-2.083018678069619) vs Target INSR (0.5236756591205465)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (1.57219698013472) vs Target KRT17P5 (-0.40238539233975246)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.910272256631403) vs Target MCL1 (1.1740552785571197)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (5.605604297721987) vs Target MCL1 (1.1740552785571197)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (1.7119241933125346) vs Target MCL1 (1.1740552785571197)
MTA1;RELA;1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target MTA1 (-0.5534382892330187)
NFE2L2;EZH2;-1;Incoherent Outgoing: Source EZH2 (4.451639178589523) vs Target NFE2L2 (0.71914168199456)
NFE2L2;RELA;-1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target NFE2L2 (0.71914168199456)
NFKB1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target NFKB1 (0.41556460199924317)
PARP1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target PARP1 (0.9978201008594088)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.340782267322167) vs Target PARP1 (0.9978201008594088)
PAX6;PPARG;1;Incoherent Outgoing: Source PPARG (-2.083018678069619) vs Target PAX6 (6.223433474641788)
PLAT;RELA;1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target PLAT (-4.09749919274933)
PLAU;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target PLAU (0.8041177162530575)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.910272256631403) vs Target PLAUR (1.1130704123304085)
PLAUR;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target PLAUR (1.1130704123304085)
PML;CSNK2B;-1;Incoherent Outgoing: Source CSNK2B (1.413340012606195) vs Target PML (0.5075121191142324)
PPARD;RELA;-1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target PPARD (0.6504220862457757)
RELA;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target RELA (1.1780251316751507)
RELA;STAT1;-1;Incoherent Outgoing: Source STAT1 (1.57219698013472) vs Target RELA (1.1780251316751507)
SERPINA3;RELA;1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target SERPINA3 (-0.872474273535099)
SERPINA3;STAT1;1;Incoherent Outgoing: Source STAT1 (1.57219698013472) vs Target SERPINA3 (-0.872474273535099)
SOD1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target SOD1 (0.7443872614151559)
ST14;RELA;-1;Incoherent Outgoing: Source RELA (1.1780251316751507) vs Target ST14 (0.7153865975839482)
STAT1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3371777968723961) vs Target STAT1 (1.57219698013472)
STAT3;CCND1;-1;Incoherent Outgoing: Source CCND1 (2.4080124147665387) vs Target STAT3 (0.6262681647957082)
