Patient_ID,GeneSymbol,logFC
GSM1589005,BCL2A1,4.343653668487066
GSM1589005,EZH2,3.940081171628454
GSM1589005,HMGCR,3.4985275268916016
GSM1589005,CDC20,3.1684761809355777
GSM1589005,MAP3K5,2.9636314486755877
GSM1589005,CDKN1A,2.8847200992237703
GSM1589005,LAPTM5,2.84739888738579
GSM1589005,TRIP13,2.7775963890892186
GSM1589005,PLAU,2.629744614384977
GSM1589005,PMAIP1,2.31168366941007
GSM1589005,PAX6,2.3010651921465817
GSM1589005,BTG3,2.197640498359907
GSM1589005,BCL11A,2.165039468581379
GSM1589005,CTSD,2.143286160272657
GSM1589005,IRF9,2.005591481690498
GSM1589005,PLAUR,1.9592585223351096
GSM1589005,STAT1,1.8655010900454574
GSM1589005,UBQLN1,1.6883330970476784
GSM1589005,MAP3K7,1.665129656904961
GSM1589005,BAX,1.620708242617777
GSM1589005,E2F1,1.5031070670470799
GSM1589005,BIRC5,1.471206481955142
GSM1589005,CASP3,1.4448456210784482
GSM1589005,REL,1.4115020437527575
GSM1589005,MCL1,1.3806248780056132
GSM1589005,PPARG,1.3734935756025815
GSM1589005,TRIB3,1.3416360218207046
GSM1589005,HIF1A,1.3236216474634936
GSM1589005,HSP90AB1,1.2995616713485507
GSM1589005,SAT1,1.2844815216595933
GSM1589005,YWHAB,1.2551234617211868
GSM1589005,XIAP,1.2289213869753635
GSM1589005,TK1,1.2157860157298321
GSM1589005,CYCS,1.2048219179821444
GSM1589005,HDAC1,1.1786111186582957
GSM1589005,BRCA1,1.1251727467193762
GSM1589005,DIABLO,1.1150561532583616
GSM1589005,GABPA,1.0832179706123304
GSM1589005,IRF2BP2,1.0302495588162106
GSM1589005,NCOA4,1.01621028353037
GSM1589005,MCM7,0.9852327788460968
GSM1589005,UBE2D1,0.9530774549278016
GSM1589005,IFI16,0.9203344251338681
GSM1589005,CD44,0.9095609637263875
GSM1589005,HSPB1,0.9072967763331707
GSM1589005,CASP2,0.8808285384657131
