GeneSymbol,Diff,Boolean
A2M,-0.14038204752517025,0
ACTB,0.7711054327461575,0
AKT2,-0.3846205336006019,0
ANXA1,-0.5910412449245808,0
APAF1,-0.28976688830184116,0
AR,-2.753778508476552,0
ARAF,-0.13604440536312357,0
ARNT,0.5468316338796484,0
ARRB1,-1.4283406826977032,0
ATF2,0.5895415607082484,0
BAD,0.4156996685695189,0
BAK1,0.21089877846774918,0
BAX,1.2984866658516934,0
BCL11A,3.065303472768952,1
BCL2,-1.0384432715773402,0
BCL2A1,3.0705404254529856,1
BCL2L1,-0.29701879334295,0
BCL2L11,-0.01952150273473663,0
BCL6,-0.6847193695366958,0
BID,1.145361114692907,0
BIRC2,1.6239512627861146,1
BIRC5,1.9095972807411323,1
BRCA1,-1.0466219885079537,0
BTG3,1.2712465097405516,0
CASP10,-0.33079683113235436,0
CASP2,1.1886117877970017,0
CASP3,1.6192718682941454,1
CASP6,-0.014171732744800103,0
CASP7,-0.05836149738174168,0
CASP8,0.3873482408780369,0
CASP9,-0.7159592586910346,0
CAV1,-2.734410176805662,0
CCND1,-2.4267400880060617,0
CD44,0.7064667641772555,0
CD82,0.06850530566168356,0
CDC20,5.302676715539187,1
CDKN1A,-0.6039005390770695,0
CREB1,1.0104118987895818,0
CSNK2B,1.1205878136776963,0
CTSD,0.24271612664017717,0
CYCS,1.1635020656350905,0
CYP3A4,-0.4019077827726498,0
DAXX,0.2613173944144851,0
DDR1,-0.4851621878078216,0
DIABLO,0.28004700904079094,0
E2F1,0.3441157950188094,0
E2F4,-0.18449178645460673,0
EGFR,0.10733781081201776,0
EPHA2,-0.5797440206458555,0
ERBB2,0.16780093402490692,0
ETS1,1.182974958342263,0
ETV1,-0.657375865003015,0
EZH2,4.753881337313554,1
FADD,0.45232997330184954,0
FOS,0.5321241226052997,0
GABPA,0.7140500522481057,0
GADD45B,1.6509583509330028,1
HDAC1,0.9163421968824963,0
HIF1A,0.5157840777724942,0
HINT1,-0.008121243994606786,0
HMGCR,0.8007048116055104,0
HSP90AB1,2.7182498617613273,1
HSPB1,0.9508303632741715,0
IFI16,0.17397610061642865,0
IKBKG,-0.31883764664136827,0
INSR,-0.3900069431727484,0
IRF2BP2,1.5153018574150021,0
IRF9,2.358887797877248,1
ITGB4,-0.6289367695868382,0
KRT15,-0.2548681781665625,0
KRT17P5,-0.338686344007173,0
KRT5,-4.1225141077394705,0
LAPTM5,1.8860006457619605,1
LDHB,0.5039078165709565,0
MAP3K4,-0.41888358983774054,0
MAP3K5,-0.8100249082095745,0
MAP3K7,1.3429495285457458,0
MAPK3,-1.2463238906635077,0
MAPK4,-0.3181832397108746,0
MCL1,1.5895419287396937,1
MCM7,2.2377982707582955,1
MTA1,0.18978476981090076,0
MYC,2.635856454034114,1
NCOA4,0.5556929285481687,0
NEDD9,-0.14698571028870955,0
NFE2L2,0.3753653260730694,0
NFKB1,0.4967076078797623,0
NR3C1,-0.7759314674367648,0
PARP1,2.150378628961839,1
PAX6,0.8869758509193817,0
PIK3CA,1.170536624500838,0
PLAT,-3.3009193145949904,0
PLAU,1.3663476442282176,0
PLAUR,1.3893864436498466,0
PLK2,-0.03285766546580149,0
PMAIP1,2.5415584885880893,1
PML,0.44981849332674173,0
PPARD,-0.22592817204745153,0
PPARG,-2.841171056875928,0
PSMD4,0.6730605159510965,0
RB1,0.7112891610665368,0
REL,1.69115978654213,1
RELA,0.8947130269613215,0
RXRA,-0.2923897244934679,0
S100A10,0.9160650113963165,0
SAT1,0.2965272010663682,0
SERPINA3,1.528304149760741,0
SETDB1,0.6367615531813415,0
SLC3A2,1.4070590897053776,0
SMAD3,-0.7264474920203847,0
SMAD4,-0.03506891477204199,0
SOD1,0.3445288009475558,0
SQSTM1,-0.012584441616774633,0
ST14,-0.0787483199488479,0
STAT1,3.4844300466870655,1
STAT3,2.250486174518226,1
STAT5A,-1.3958057223078582,0
SYNPO,-1.0365644015589002,0
TGFB1,-0.27708428661111206,0
TGFBR1,0.0877437256305349,0
TGFBR2,-0.9569431292937107,0
TK1,2.139058985137873,1
TM4SF1,3.052328919591636,1
TNRC6A,-0.4891718509953904,0
TP53,0.5183381518106165,0
TRADD,0.014731415912205392,0
TRIB3,0.6995572604678246,0
TRIM29,0.385203078983019,0
TRIP13,3.427774273182738,1
UBE2D1,0.8272203382680576,0
UBQLN1,1.54167037123214,0
USP7,-0.7255918409363593,0
VIM,1.4985837459218398,0
WWP1,1.1689724343380519,0
XIAP,0.6077962343696575,0
YWHAB,0.741439945539053,0
