Target_Gene;Source_Gene;Interaction_Type;Reason
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.0217027338844735) vs Target BAX (1.7148045806728565)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.4366202144842335) vs Target BCL2 (-1.1277056419166698)
BCL2L11;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.1277056419166698) vs Target BCL2L11 (0.7709866165149304)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.1350429296176934) vs Target BID (2.440541311370356)
BRCA1;PARP1;1;Incoherent Outgoing: Source PARP1 (1.8905445649102184) vs Target BRCA1 (-0.6419250654918738)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (2.0478428490391583) vs Target CASP10 (-0.5934725520400539)
CASP10;CASP6;1;Incoherent Outgoing: Source CASP6 (1.19981002960074) vs Target CASP10 (-0.5934725520400539)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2758776583036608) vs Target CASP3 (2.0478428490391583)
CASP6;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2758776583036608) vs Target CASP6 (1.19981002960074)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (3.6119658621652775) vs Target CASP7 (0.545314809709958)
CASP7;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2758776583036608) vs Target CASP7 (0.545314809709958)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (2.0478428490391583) vs Target CASP9 (-0.36640127968964453)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.935315139748063) vs Target CAV1 (-2.5242492970627772)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-2.5242492970627772) vs Target CCND1 (-0.3450709416624962)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (3.7676520925623835) vs Target CCND1 (-0.3450709416624962)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (1.0512415173973704) vs Target CCND1 (-0.3450709416624962)
CCND1;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.4366202144842335) vs Target CCND1 (-0.3450709416624962)
CCND1;PARP1;1;Incoherent Outgoing: Source PARP1 (1.8905445649102184) vs Target CCND1 (-0.3450709416624962)
CCND1;STAT1;1;Incoherent Outgoing: Source STAT1 (2.3143780517919943) vs Target CCND1 (-0.3450709416624962)
CDKN1A;TK1;1;Incoherent Outgoing: Source TK1 (2.8888149574536817) vs Target CDKN1A (-0.5281408546091395)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.6147019791422315) vs Target E2F1 (0.7140633094317392)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.4366202144842335) vs Target E2F1 (0.7140633094317392)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.8905445649102184) vs Target E2F1 (0.7140633094317392)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5052895133217303) vs Target EZH2 (3.7676520925623835)
FOS;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5052895133217303) vs Target FOS (1.0512415173973704)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.1277056419166698) vs Target HIF1A (1.1350429296176934)
HIF1A;SQSTM1;-1;Incoherent Outgoing: Source SQSTM1 (1.1041151884835196) vs Target HIF1A (1.1350429296176934)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (2.3143780517919943) vs Target HIF1A (1.1350429296176934)
KRT17P5;FOS;1;Incoherent Outgoing: Source FOS (1.0512415173973704) vs Target KRT17P5 (-0.5926485407844426)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (2.3143780517919943) vs Target KRT17P5 (-0.5926485407844426)
KRT5;FOS;1;Incoherent Outgoing: Source FOS (1.0512415173973704) vs Target KRT5 (-0.8462749880531106)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-2.5242492970627772) vs Target MCL1 (1.0217027338844735)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.656774234930797) vs Target MCL1 (1.0217027338844735)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.6448669548112687) vs Target MCL1 (1.0217027338844735)
MTA1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.8905445649102184) vs Target MTA1 (0.6321893855797507)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (2.0478428490391583) vs Target PARP1 (1.8905445649102184)
PLAT;FOS;1;Incoherent Outgoing: Source FOS (1.0512415173973704) vs Target PLAT (-1.2998534544027702)
