Target_Gene;Source_Gene;Interaction_Type;Reason
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (2.635771767660394) vs Target AKT2 (-0.40111164034252145)
APAF1;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1582974572810816) vs Target APAF1 (0.3296210173272591)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.0055255678140131) vs Target BAX (2.122746871071767)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.5080700723283513) vs Target BAX (2.122746871071767)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.3469123437465624) vs Target BCL2 (-1.0899735811529272)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2403302677535502) vs Target BCL2 (-1.0899735811529272)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-2.1818768257621803) vs Target BCL2L1 (0.32355755606170167)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.698114069026957) vs Target BCL2L1 (0.32355755606170167)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.4189014384708987) vs Target BCL2L1 (0.32355755606170167)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.3674467392854606) vs Target BCL2L1 (0.32355755606170167)
BCL2L11;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.0899735811529272) vs Target BCL2L11 (0.8798210528224288)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.6885080621704933) vs Target BID (1.280409593370086)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1582974572810816) vs Target CASP3 (1.9392706541609783)
CASP6;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1582974572810816) vs Target CASP6 (0.33625943025589944)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (2.955501419919168) vs Target CASP7 (0.9163212060110189)
CASP7;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1582974572810816) vs Target CASP7 (0.9163212060110189)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (3.077284236734176) vs Target CAV1 (-1.9528529375824029)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (1.2156526642014347) vs Target CAV1 (-1.9528529375824029)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-1.9528529375824029) vs Target CCND1 (-0.7369906801852313)
CCND1;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2403302677535502) vs Target CCND1 (-0.7369906801852313)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (3.415763071991134) vs Target CCND1 (-0.7369906801852313)
CCND1;FOS;1;Incoherent Outgoing: Source FOS (1.8788683097149512) vs Target CCND1 (-0.7369906801852313)
CCND1;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.3469123437465624) vs Target CCND1 (-0.7369906801852313)
CCND1;PARP1;1;Incoherent Outgoing: Source PARP1 (1.4552784391287474) vs Target CCND1 (-0.7369906801852313)
CCND1;REL;1;Incoherent Outgoing: Source REL (1.3794617065400834) vs Target CCND1 (-0.7369906801852313)
CCND1;STAT1;1;Incoherent Outgoing: Source STAT1 (4.023399214109524) vs Target CCND1 (-0.7369906801852313)
CD82;HIF1A;1;Incoherent Outgoing: Source HIF1A (1.6885080621704933) vs Target CD82 (-0.38394282853726036)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.1946414551070887) vs Target CREB1 (1.2403302677535502)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.2708402668401835) vs Target CSNK2B (0.46412660905155434)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.1946414551070887) vs Target E2F1 (0.325984928349194)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.3314871561283672) vs Target E2F1 (0.325984928349194)
E2F1;IFI16;-1;Incoherent Outgoing: Source IFI16 (1.9154699001690378) vs Target E2F1 (0.325984928349194)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.3469123437465624) vs Target E2F1 (0.325984928349194)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.4552784391287474) vs Target E2F1 (0.325984928349194)
EPHA2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2403302677535502) vs Target EPHA2 (-0.49446526586912487)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.3674467392854606) vs Target EZH2 (3.415763071991134)
FOS;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.3674467392854606) vs Target FOS (1.8788683097149512)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.1946414551070887) vs Target HIF1A (1.6885080621704933)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.0899735811529272) vs Target HIF1A (1.6885080621704933)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (4.023399214109524) vs Target HIF1A (1.6885080621704933)
KRT17P5;FOS;1;Incoherent Outgoing: Source FOS (1.8788683097149512) vs Target KRT17P5 (-0.47421493798908276)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (4.023399214109524) vs Target KRT17P5 (-0.47421493798908276)
KRT5;FOS;1;Incoherent Outgoing: Source FOS (1.8788683097149512) vs Target KRT5 (-2.5674553099828206)
MAPK3;VIM;1;Incoherent Outgoing: Source VIM (1.2776340794479513) vs Target MAPK3 (-0.9092554212299451)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.9528529375824029) vs Target MCL1 (1.5080700723283513)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.698114069026957) vs Target MCL1 (1.5080700723283513)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.4189014384708987) vs Target MCL1 (1.5080700723283513)
NFE2L2;EZH2;-1;Incoherent Outgoing: Source EZH2 (3.415763071991134) vs Target NFE2L2 (0.4996149276895867)
NR3C1;AR;1;Incoherent Outgoing: Source AR (-2.1818768257621803) vs Target NR3C1 (0.30221219248992526)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.9392706541609783) vs Target PARP1 (1.4552784391287474)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.2403302677535502) vs Target PLAT (-1.1176625092812902)
PLAT;FOS;1;Incoherent Outgoing: Source FOS (1.8788683097149512) vs Target PLAT (-1.1176625092812902)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-1.9528529375824029) vs Target PLAUR (3.077284236734176)
