Target_Gene;Source_Gene;Interaction_Type;Reason
A2M;PPARG;1;Incoherent Outgoing: Source PPARG (-3.4946412741129786) vs Target A2M (0.7693886933022469)
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.3974169439664603) vs Target ACTB (0.7376070033124442)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.3217469060116898) vs Target BAX (2.0668792957149122)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1037327584816845) vs Target BAX (2.0668792957149122)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.2497123742564922) vs Target BCL2 (-0.784990040400527)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.433159481721348) vs Target BCL2 (-0.784990040400527)
BCL2;TP53;-1;Incoherent Outgoing: Source TP53 (-1.924708219727714) vs Target BCL2 (-0.784990040400527)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-2.8017938518346925) vs Target BCL2L1 (0.44697731566942434)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (5.123222504784687) vs Target BCL2L1 (0.44697731566942434)
BCL2L1;FOS;1;Incoherent Outgoing: Source FOS (-1.675836210955949) vs Target BCL2L1 (0.44697731566942434)
BCL2L1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.3018605620838972) vs Target BCL2L1 (0.44697731566942434)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.3865912219992502) vs Target BCL2L1 (0.44697731566942434)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.6599737945686304) vs Target BCL2L1 (0.44697731566942434)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.7498669662631476) vs Target BCL6 (-1.3896501414027362)
BID;TP53;1;Incoherent Outgoing: Source TP53 (-1.924708219727714) vs Target BID (2.200692343201328)
BTG3;TP53;1;Incoherent Outgoing: Source TP53 (-1.924708219727714) vs Target BTG3 (0.6280252151959091)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2351328281537812) vs Target CASP3 (1.1422743812246976)
CASP8;RXRA;1;Incoherent Outgoing: Source RXRA (-1.7671955043273275) vs Target CASP8 (0.8032203127052329)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.2523742458777134) vs Target CAV1 (-4.833332707466482)
CAV1;TP53;-1;Incoherent Outgoing: Source TP53 (-1.924708219727714) vs Target CAV1 (-4.833332707466482)
CD44;E2F1;-1;Incoherent Outgoing: Source E2F1 (1.032515064393519) vs Target CD44 (2.5813232124542775)
CD44;FOS;1;Incoherent Outgoing: Source FOS (-1.675836210955949) vs Target CD44 (2.5813232124542775)
CDKN1A;BCL11A;1;Incoherent Outgoing: Source BCL11A (1.7498669662631476) vs Target CDKN1A (-0.41382544345541916)
CDKN1A;IRF2BP2;1;Incoherent Outgoing: Source IRF2BP2 (1.3217469060116898) vs Target CDKN1A (-0.41382544345541916)
