GeneSymbol,Diff,Boolean
A2M,-1.0801821254958313,0
ACTB,1.0740856403288177,0
AKT2,-0.18821447836775196,0
ANXA1,0.5387588885770676,0
APAF1,0.10460656338630514,0
AR,-2.59588310048726,0
ARAF,-0.03131655870150851,0
ARNT,-0.16487474211276165,0
ARRB1,-1.5728420706338042,0
ATF2,0.19351014129778576,0
BAD,0.21795938418805516,0
BAK1,-0.1814480025806402,0
BAX,2.335376345746818,1
BCL11A,0.21074297494491212,0
BCL2,-0.941669099377358,0
BCL2A1,3.807655025752396,1
BCL2L1,0.5479482990658902,0
BCL2L11,0.19456193455720783,0
BCL6,-0.7839049114420895,0
BID,0.6817469262218614,0
BIRC2,0.6592722549237138,0
BIRC5,1.9114683667550247,1
BRCA1,0.6608229759158011,0
BTG3,1.7604705652083945,1
CASP10,-0.07858813455236646,0
CASP2,-0.530700128536596,0
CASP3,1.8552009470671766,1
CASP6,0.9417818067598693,0
CASP7,0.7141456212386288,0
CASP8,0.6286991898138536,0
CASP9,-0.26792895878958767,0
CAV1,-2.7081503086787926,0
CCND1,-2.258009296413446,0
CD44,2.305079536459619,1
CD82,-0.05974850696785072,0
CDC20,3.563009709294157,1
CDKN1A,0.7367640336487611,0
CREB1,1.0420269044901778,0
CSNK2B,1.0913181591673968,0
CTSD,0.41648179230045734,0
CYCS,-0.20456412043169614,0
CYP3A4,-0.6133917756300171,0
DAXX,0.2479631085342051,0
DDR1,0.2983976839220084,0
DIABLO,1.1148395124811312,0
E2F1,-0.07755210372316501,0
E2F4,-0.47476383448864734,0
EGFR,-0.46221565211070104,0
EPHA2,0.0840944910521344,0
ERBB2,0.30929828688241656,0
ETS1,0.4515531767646461,0
ETV1,-0.23414801242532413,0
EZH2,3.3311615883166636,1
FADD,-0.1935050852275202,0
FOS,1.6466144968159213,1
GABPA,0.16787008340115062,0
GADD45B,0.9160556411507539,0
HDAC1,0.5069114094938971,0
HIF1A,1.404830958266194,0
HINT1,0.10543719364103055,0
HMGCR,0.5952455254681395,0
HSP90AB1,2.359094901628696,1
HSPB1,1.3403218213238706,0
IFI16,2.3319300242914327,1
IKBKG,0.009650622982650958,0
INSR,-0.7425503465540961,0
IRF2BP2,0.8576287586310478,0
IRF9,1.5075444100922075,1
ITGB4,1.086192491709622,0
KRT15,-0.4997307093247638,0
KRT17P5,-0.4344273743685525,0
KRT5,-1.4455557336469607,0
LAPTM5,2.7270625399560906,1
LDHB,-0.6659166839472945,0
MAP3K4,-0.3954264677240218,0
MAP3K5,0.6292032053789001,0
MAP3K7,1.7910611895401534,1
MAPK3,-0.8867224931485875,0
MAPK4,-0.05094146032231439,0
MCL1,1.820744962097061,1
MCM7,0.8544021910411601,0
MTA1,0.08551706567198103,0
MYC,-0.2716841605262754,0
NCOA4,0.5612811199847698,0
NEDD9,0.39079286987237616,0
NFE2L2,0.17904298592664425,0
NFKB1,1.6277135073243931,1
NR3C1,0.21315859591998887,0
PARP1,1.6477173305297779,1
PAX6,2.5250406673620116,1
PIK3CA,0.5039657593549194,0
PLAT,-2.3122288779947207,0
PLAU,2.4544105179993476,1
PLAUR,1.898786618186599,1
PLK2,-0.5300564144738207,0
PMAIP1,3.097621222575304,1
PML,0.7594509418474207,0
PPARD,0.37422797874624525,0
PPARG,-2.081997018859968,0
PSMD4,0.057166065736231175,0
RB1,0.13032235241480716,0
REL,0.9083564895680283,0
RELA,0.8901968331984413,0
RXRA,-1.2078561275454671,0
S100A10,-0.4760827626143538,0
SAT1,1.248052258915198,0
SERPINA3,2.6058281474515397,1
SETDB1,0.2406408672143021,0
SLC3A2,1.269107515401398,0
SMAD3,-0.18957159920192002,0
SMAD4,-0.5777087695269838,0
SOD1,0.3115216435612549,0
SQSTM1,0.38306535465230596,0
ST14,0.5658494338760525,0
STAT1,4.192789128227795,1
STAT3,1.3741666992903223,0
STAT5A,-1.2174525746093083,0
SYNPO,-0.9233201870091667,0
TGFB1,0.6537485791913369,0
TGFBR1,-0.21281022771561275,0
TGFBR2,0.19629728951711378,0
TK1,2.951500349867872,1
TM4SF1,1.881010868562253,1
TNRC6A,0.1984877507504379,0
TP53,0.3240132663692661,0
TRADD,-0.030400042003215333,0
TRIB3,0.6815415649194998,0
TRIM29,-0.7212518872822251,0
TRIP13,1.8835346531841282,1
UBE2D1,0.7132154552369485,0
UBQLN1,1.3241100810678805,0
USP7,-0.4276153723602336,0
VIM,0.45460130919684083,0
WWP1,-0.30052317291847785,0
XIAP,0.999091234330507,0
YWHAB,0.21300372561555392,0
