Patient_ID,GeneSymbol,logFC
GSM1589063,EZH2,4.474562054617864
GSM1589063,CDC20,4.026170121346498
GSM1589063,TRIP13,3.4914286347066987
GSM1589063,BCL2A1,2.8562369144825066
GSM1589063,STAT1,2.443256089960972
GSM1589063,CCND1,2.2845535673993886
GSM1589063,TK1,2.118175303595387
GSM1589063,UBQLN1,2.1049754828172347
GSM1589063,BCL11A,1.9946718983635696
GSM1589063,HSP90AB1,1.9454825280323593
GSM1589063,PARP1,1.922609252381939
GSM1589063,PLAU,1.809574877967763
GSM1589063,MCM7,1.7096509316434538
GSM1589063,CSNK2B,1.5912804627836934
GSM1589063,IRF9,1.5851595653730266
GSM1589063,MYC,1.5295592489317134
GSM1589063,CASP6,1.5283758396682066
GSM1589063,CREB1,1.5150023520499554
GSM1589063,PLAUR,1.478954136346518
GSM1589063,TM4SF1,1.4419266508764945
GSM1589063,HMGCR,1.4226332604952017
GSM1589063,TRIB3,1.4054972682052096
GSM1589063,BAX,1.3410285928665324
GSM1589063,BIRC5,1.3161452032184204
GSM1589063,MAP3K7,1.3052283459004261
GSM1589063,VIM,1.2940379768124153
GSM1589063,DDR1,1.2767856893334848
GSM1589063,LAPTM5,1.21922779421039
GSM1589063,SERPINA3,1.11523130689584
GSM1589063,IRF2BP2,1.099790969953398
GSM1589063,NFKB1,1.093697706756383
GSM1589063,IFI16,1.0809437485785978
GSM1589063,DAXX,1.0413312191719983
GSM1589063,MCL1,0.9663492750830684
GSM1589063,XIAP,0.9565333905571265
GSM1589063,EPHA2,0.941298759967065
GSM1589063,CD44,0.9161280541780235
GSM1589063,SAT1,0.9104583028785989
GSM1589063,BTG3,0.8764034289800193
GSM1589063,BID,0.8638326260768023
GSM1589063,SLC3A2,0.8537007384504385
GSM1589063,HIF1A,0.8380197448280935
GSM1589063,BAK1,0.8296367662689397
GSM1589063,ETV1,0.7743271968247933
GSM1589063,HDAC1,0.7740891327660666
GSM1589063,PPARD,0.7650302997230778
GSM1589063,LDHB,0.7621800253634028
GSM1589063,BRCA1,0.7187658723097368
GSM1589063,ACTB,0.6583974504266354
GSM1589063,STAT3,0.6480178265890659
GSM1589063,CASP3,0.6452315510432376
GSM1589063,PAX6,0.6338936782537514
GSM1589063,E2F1,0.617818028430154
GSM1589063,FADD,0.5931159713037806
GSM1589063,YWHAB,0.5774221714368881
GSM1589063,GADD45B,0.5660929416596954
GSM1589063,CTSD,0.553215531283648
GSM1589063,REL,0.5423437898759875
GSM1589063,UBE2D1,0.5281953537274449
GSM1589063,BAD,0.5209413452378504
GSM1589063,RELA,0.4711364996128813
GSM1589063,GABPA,0.45464908578922536
GSM1589063,TGFBR1,0.4160574485015882
GSM1589063,WWP1,0.41470305071365665
GSM1589063,MTA1,0.41183517510112644
GSM1589063,CASP2,0.3803547164234864
GSM1589063,DIABLO,0.3769112436812012
GSM1589063,CYCS,0.3748284119707437
GSM1589063,BIRC2,0.3639091197210149
GSM1589063,PIK3CA,0.318372254516726
GSM1589063,HINT1,0.3008384476870738
GSM1589063,ST14,0.2600068663796886
GSM1589063,PMAIP1,0.2599806792261692
GSM1589063,APAF1,0.2555162543639673
GSM1589063,ERBB2,0.2517276151682406
GSM1589063,BCL2L1,0.1826724818431673
GSM1589063,CASP8,0.17441735774621314
GSM1589063,RB1,0.17039145191917715
GSM1589063,TGFB1,0.13478693305872191
GSM1589063,ATF2,0.1162458532594286
GSM1589063,CD82,0.08484212044086359
GSM1589063,ARNT,0.07385737814049786
GSM1589063,SETDB1,0.027265124028353682
GSM1589063,BCL2L11,0.017852397127405162
GSM1589063,NEDD9,0.012302937683183579
GSM1589063,ITGB4,0.009023511261947448
GSM1589063,SMAD4,0.007410108413994365
GSM1589063,INSR,-0.0557271094057894
GSM1589063,ARAF,-0.05997795846368881
GSM1589063,PSMD4,-0.06567478740898025
GSM1589063,USP7,-0.08954002393418126
GSM1589063,TRADD,-0.11790089074018084
GSM1589063,PML,-0.1302085782761644
GSM1589063,SQSTM1,-0.1463771346064826
GSM1589063,MAP3K5,-0.15883853939990278
GSM1589063,IKBKG,-0.19973595338317818
GSM1589063,CASP10,-0.20728729101129417
GSM1589063,ETS1,-0.22597595407590365
GSM1589063,CDKN1A,-0.23778865623055978
GSM1589063,SOD1,-0.26777516528044565
GSM1589063,CASP7,-0.281989742434102
GSM1589063,TNRC6A,-0.29119628110229545
GSM1589063,MAP3K4,-0.31456656582045994
GSM1589063,AKT2,-0.3221501013111485
GSM1589063,MAPK4,-0.3252053749245838
GSM1589063,CASP9,-0.3396808143634944
GSM1589063,NCOA4,-0.3456270190926318
GSM1589063,E2F4,-0.3598013833925995
GSM1589063,NFE2L2,-0.3968407148423445
GSM1589063,CYP3A4,-0.45351273698076433
GSM1589063,KRT17P5,-0.5369207118130026
GSM1589063,EGFR,-0.6301947776459667
GSM1589063,MAPK3,-0.7062793569995058
GSM1589063,A2M,-0.7257885454809436
GSM1589063,TGFBR2,-0.7819085955569367
GSM1589063,HSPB1,-0.8115997797844088
GSM1589063,TP53,-0.9317798656438443
GSM1589063,NR3C1,-0.9849572132860827
GSM1589063,SYNPO,-1.0068736737464397
GSM1589063,ANXA1,-1.0375739611413035
GSM1589063,FOS,-1.0470858399275098
GSM1589063,RXRA,-1.2101750088893226
GSM1589063,STAT5A,-1.22215230489161
GSM1589063,BCL2,-1.2783726360745922
GSM1589063,PLK2,-1.2818022529965916
GSM1589063,ARRB1,-1.3909934368138384
GSM1589063,S100A10,-1.4254078461026047
GSM1589063,TRIM29,-1.509851112612104
GSM1589063,SMAD3,-1.5314655260659569
GSM1589063,PLAT,-2.0108485475646907
GSM1589063,BCL6,-2.33312470730628
