Target_Gene;Source_Gene;Interaction_Type;Reason
BAK1;BCL2A1;-1;Incoherent Outgoing: Source BCL2A1 (4.1982480178104264) vs Target BAK1 (0.5492118657865293)
BAK1;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1689593455186653) vs Target BAK1 (0.5492118657865293)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.0763596999300464) vs Target BAX (2.324202447132852)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.1689593455186653) vs Target BAX (2.324202447132852)
BCL2;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.6256833579083922) vs Target BCL2 (-0.9502359571272869)
BCL2;CREB1;1;Incoherent Outgoing: Source CREB1 (1.0517195573882008) vs Target BCL2 (-0.9502359571272869)
BCL2L1;AR;1;Incoherent Outgoing: Source AR (-3.0269601471925585) vs Target BCL2L1 (0.4649044016821948)
BCL2L1;BCL2L11;-1;Incoherent Outgoing: Source BCL2L11 (1.3792869084749881) vs Target BCL2L1 (0.4649044016821948)
BCL2L1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.283860958182558) vs Target BCL2L1 (0.4649044016821948)
BCL2L1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (4.142150943201376) vs Target BCL2L1 (0.4649044016821948)
BCL2L1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target BCL2L1 (0.4649044016821948)
BRCA1;MAPK3;1;Incoherent Outgoing: Source MAPK3 (-1.2643738431853162) vs Target BRCA1 (1.4001365086784414)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (1.576839742573247) vs Target CASP10 (-0.4468549407849487)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1349435011508708) vs Target CASP3 (1.576839742573247)
CASP6;XIAP;-1;Incoherent Outgoing: Source XIAP (1.1349435011508708) vs Target CASP6 (0.9220155573281898)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.576839742573247) vs Target CASP9 (-0.6274988828768082)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.891160889488149) vs Target CAV1 (-3.0129102589934176)
CAV1;STAT3;1;Incoherent Outgoing: Source STAT3 (2.2141446123267476) vs Target CAV1 (-3.0129102589934176)
CCND1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target CCND1 (0.4051962238515081)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3628026122042058) vs Target CREB1 (1.0517195573882008)
CSNK2B;ACTB;-1;Incoherent Outgoing: Source ACTB (1.21264685267335) vs Target CSNK2B (0.5418588552080941)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3628026122042058) vs Target E2F1 (0.37661421195184897)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (1.0433297888240691) vs Target E2F1 (0.37661421195184897)
E2F1;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.6256833579083922) vs Target E2F1 (0.37661421195184897)
E2F1;PARP1;-1;Incoherent Outgoing: Source PARP1 (1.9488449035011381) vs Target E2F1 (0.37661421195184897)
EGFR;TRIP13;1;Incoherent Outgoing: Source TRIP13 (3.0817832622415082) vs Target EGFR (-0.3651859042076193)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target EZH2 (3.7201371516889727)
FOS;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target FOS (0.47068591643409974)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target HDAC1 (0.5465654722468667)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.3628026122042058) vs Target HIF1A (0.8362440894927943)
HIF1A;SQSTM1;-1;Incoherent Outgoing: Source SQSTM1 (1.1373093529063807) vs Target HIF1A (0.8362440894927943)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (3.432936789733956) vs Target HIF1A (0.8362440894927943)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (3.432936789733956) vs Target KRT17P5 (-0.7675234023731123)
KRT5;BRCA1;-1;Incoherent Outgoing: Source BRCA1 (1.4001365086784414) vs Target KRT5 (1.1489185465456995)
MAP3K5;ARRB1;-1;Incoherent Outgoing: Source ARRB1 (-1.3628026122042058) vs Target MAP3K5 (-0.4590541431809072)
MCL1;BCL2L11;-1;Incoherent Outgoing: Source BCL2L11 (1.3792869084749881) vs Target MCL1 (1.1689593455186653)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.0129102589934176) vs Target MCL1 (1.1689593455186653)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (4.283860958182558) vs Target MCL1 (1.1689593455186653)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (4.142150943201376) vs Target MCL1 (1.1689593455186653)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.576839742573247) vs Target PARP1 (1.9488449035011381)
PLAT;CREB1;1;Incoherent Outgoing: Source CREB1 (1.0517195573882008) vs Target PLAT (-1.9937040698488202)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-3.0129102589934176) vs Target PLAUR (1.891160889488149)
PML;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target PML (0.7319382699291186)
REL;NFKB1;-1;Incoherent Outgoing: Source NFKB1 (1.6256833579083922) vs Target REL (0.7585021360957525)
S100A10;STAT1;1;Incoherent Outgoing: Source STAT1 (3.432936789733956) vs Target S100A10 (-0.4102078880563589)
SERPINA3;NFKB1;1;Incoherent Outgoing: Source NFKB1 (1.6256833579083922) vs Target SERPINA3 (-0.4216634847830303)
SERPINA3;STAT1;1;Incoherent Outgoing: Source STAT1 (3.432936789733956) vs Target SERPINA3 (-0.4216634847830303)
SERPINA3;STAT3;1;Incoherent Outgoing: Source STAT3 (2.2141446123267476) vs Target SERPINA3 (-0.4216634847830303)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (3.212446469628661) vs Target STAT5A (-1.0724020337810005)
SYNPO;YWHAB;1;Incoherent Outgoing: Source YWHAB (1.1134064022193861) vs Target SYNPO (-0.6426886160352403)
TGFB1;AR;1;Incoherent Outgoing: Source AR (-3.0269601471925585) vs Target TGFB1 (0.6482353170551729)
TGFB1;HSP90AB1;-1;Incoherent Outgoing: Source HSP90AB1 (3.212446469628661) vs Target TGFB1 (0.6482353170551729)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.0724020337810005) vs Target XIAP (1.1349435011508708)
